Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTransferEpRet	StdTransferEpRet	MaxTransferEpRet	MinTransferEpRet	AverageRandomEpRet	StdRandomEpRet	MaxRandomEpRet	MinRandomEpRet	EpLen	TestEpLen	TransferEpLen	RandomEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	16.930368	3.4131951	37.79263	10.530047	70.70374	23.69564	112.20782	41.22611	70.93785	8.8343	81.71021	51.927162	75.23291	13.578497	97.53003	47.58092	14.558394	71.2	65.8	68.7	3999	11.629677	7.328113	27.213066	-2.3755512	11.628802	7.3284698	27.06376	-2.3413527	-2.643601	1.7967536	8.819984	-17.16854	-12.952134	0.5356831	57.87764286994934
2	16.750074	3.944574	43.862305	10.948253	73.452255	7.514951	85.66842	61.935707	70.04387	10.211275	87.51754	54.94806	66.46433	10.761999	88.26446	52.81945	14.307143	65.5	63.3	61.6	7999	30.021868	13.1142025	61.511337	-13.998619	30.02091	13.11818	64.2225	-9.668618	-1.716705	3.3543282	22.857141	-12.295757	-32.849842	1.9579312	131.25461316108704
3	24.27629	19.55615	128.94511	11.393395	62.452595	13.771351	76.07772	27.038887	73.40032	4.3894296	80.86623	66.08561	72.47417	11.022277	90.544846	58.568184	22.106146	59.3	67.4	71.6	11999	56.636314	21.772053	120.558945	-22.962063	56.63559	21.777025	125.51384	-20.742393	-0.25699425	4.1994514	32.656544	-13.834609	-61.584015	13.173055	205.13152980804443
4	61.46697	22.108965	109.36387	21.454597	47.015205	14.437737	81.863754	29.784697	60.29122	38.057262	146.24579	21.90894	70.99217	32.402466	126.863205	30.449903	64.67742	50.0	60.5	66.7	15999	70.81323	25.906397	102.23185	-22.064535	70.813	25.91358	103.83674	-21.859053	-0.2459998	4.0120664	32.595047	-12.531642	-75.24177	17.726633	280.45734429359436
5	76.03766	24.192738	149.81981	19.504711	76.2568	28.010406	124.75949	30.106657	75.19719	19.506409	96.39688	19.80454	88.407074	19.231113	111.449615	43.702957	77.90196	90.7	65.1	78.9	19999	69.93138	27.95882	104.396515	-24.278717	69.92972	27.96851	101.98141	-30.674314	-0.6264427	3.8890696	32.45579	-14.768043	-73.5457	14.431316	358.3443157672882
6	63.753353	32.808487	137.6012	12.355926	211.81192	294.8203	795.3146	13.935938	281.61203	337.92133	797.6779	23.288336	73.709435	23.384571	102.38221	20.730452	91.38636	291.9	371.0	95.6	23999	66.68936	29.327715	99.0404	-72.5627	66.68891	29.33306	97.854866	-73.002144	-0.6725875	3.68729	31.014988	-12.621282	-69.73695	11.217229	442.80396819114685
7	59.8635	27.760454	110.09622	15.349133	103.46619	27.665277	176.82954	80.606705	151.46199	185.06631	692.5685	40.315025	90.19059	38.686752	156.48369	42.19955	90.09091	125.8	212.3	123.6	27999	64.95005	30.948809	105.23297	-56.478718	64.94903	30.952639	104.65875	-33.322304	-0.5537614	3.6752036	32.925755	-13.293016	-67.74178	12.478786	522.8394613265991
8	84.89806	54.16046	269.2467	29.023241	279.9388	221.91273	631.0273	74.516396	337.6046	263.8297	725.3279	45.9652	250.6141	234.24191	606.417	29.18801	118.52941	455.4	487.1	414.4	31999	63.22433	31.976572	101.924286	-52.785522	63.22087	31.981173	101.49033	-34.012802	-0.81966555	3.237062	23.47159	-16.720644	-65.65491	13.679132	614.4924111366272
9	109.01129	70.1983	316.20877	23.522167	174.02997	124.029236	541.6582	117.56405	121.831055	30.620085	194.27884	79.727844	260.76398	239.77338	637.1561	38.716236	143.71428	209.2	131.5	395.2	35999	62.809635	31.195082	102.70227	-43.519882	62.808327	31.198568	100.38653	-43.5539	-0.82582366	3.116457	25.437454	-14.526085	-65.076454	15.662387	697.230715751648
10	131.42491	73.3164	346.76898	30.132769	292.6393	223.11824	694.9132	44.66485	298.352	255.00005	888.71893	112.196495	406.2222	170.66505	711.6689	211.9942	191.14285	390.2	368.9	528.2	39999	62.803936	30.461027	98.04724	-35.507744	62.80364	30.461674	98.66113	-36.992107	-0.81836283	3.0382774	24.461731	-14.019745	-64.791306	13.084283	786.5318350791931
