Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTransferEpRet	StdTransferEpRet	MaxTransferEpRet	MinTransferEpRet	AverageRandomEpRet	StdRandomEpRet	MaxRandomEpRet	MinRandomEpRet	AverageAdvEpRet	StdAdvEpRet	MaxAdvEpRet	MinAdvEpRet	EpLen	TestEpLen	TransferEpLen	RandomEpLen	AdvEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
18	13.182864	30.674421	81.410675	-90.50095	1649.6443	59.511524	1768.481	1567.4781	-69.18621	19.67698	-42.35519	-105.098854	1571.6033	48.627293	1632.2283	1529.3403	1628.1057	67.747505	1770.3136	1558.1875	51.28205	1000.0	32.1	1000.0	1000.0	71999	5.0245986	48.113853	866.5425	-641.37573	5.027116	48.129536	883.8734	-546.44904	-10.510299	73.54703	1714.5795197486877
19	4.0369606	31.045538	61.489487	-205.33679	1567.1898	87.498146	1748.1945	1445.5985	-58.970245	17.303698	-38.786247	-86.78624	1593.3873	49.033833	1635.7256	1530.021	1608.777	91.8732	1750.366	1448.0504	42.585106	1000.0	26.0	1000.0	1000.0	75999	6.0298285	52.737114	1010.02484	-584.3508	6.034621	52.746933	1051.6404	-528.21857	-11.168768	67.825226	1809.0226488113403
20	21.763271	173.87769	1577.3594	-69.36667	1598.3264	101.97331	1747.7289	1447.0984	-77.87679	35.271988	-36.31717	-131.49905	1570.8474	49.351997	1632.8223	1528.3237	1607.7976	49.37492	1649.8373	1545.502	47.92771	1000.0	34.7	1000.0	1000.0	79999	8.682509	59.414577	1039.2821	-439.4947	8.68848	59.42076	1017.44116	-441.13452	-13.593033	83.6856	1901.6409513950348
21	15.658414	68.73686	85.40688	-581.16284	1600.8132	81.94781	1763.4377	1454.0679	-67.89704	15.919709	-39.865234	-86.680336	1609.1127	64.31925	1740.1501	1537.6821	1619.3297	80.66825	1759.611	1458.8574	45.625	1000.0	33.6	1000.0	1000.0	83999	10.459536	64.02128	1105.5853	-411.54184	10.464288	64.02963	1138.8329	-369.09116	-15.459379	60.730873	1995.8320360183716
22	20.951025	22.502468	75.20329	-39.29271	1596.6912	45.641167	1669.2048	1564.3635	-72.234085	24.873037	-29.415956	-127.73832	1568.7742	75.968544	1750.4104	1444.6312	1646.0574	88.5513	1768.4008	1463.354	49.37037	1000.0	32.3	1000.0	1000.0	87999	12.376079	67.096306	1153.3923	-373.7119	12.37528	67.09967	1052.8779	-372.85184	-17.457745	59.3779	2091.6119627952576
23	-35.207508	437.46033	64.97649	-3764.7083	1629.8933	67.18373	1773.0308	1567.8088	-67.36099	15.866074	-46.026356	-95.00426	1531.3418	95.13291	1743.718	1439.3176	1630.1111	48.77563	1672.0515	1565.1036	54.027027	1000.0	27.4	1000.0	1000.0	91999	13.648055	65.63712	951.16876	-335.63394	13.647066	65.6612	962.14374	-342.88922	-18.634027	75.933624	2185.9234948158264
24	-75.850876	775.80066	71.767944	-6324.3115	1598.732	66.59284	1759.9878	1556.3915	-75.607765	23.822897	-42.3611	-122.89499	1569.887	90.14343	1738.1918	1438.0764	1548.8065	70.85261	1659.8907	1456.6617	59.878788	1000.0	32.0	1000.0	1000.0	95999	12.264988	60.48274	896.8161	-414.0695	12.26556	60.512756	990.9379	-387.8192	-16.7952	110.20441	2279.873102903366
25	21.093622	98.782845	84.981285	-772.90247	1569.7493	69.595695	1663.6171	1461.5432	-74.7383	24.31877	-40.31583	-115.54285	1575.3546	48.90761	1638.4257	1531.7888	1579.7848	59.37898	1662.0828	1462.173	56.492958	1000.0	32.0	1000.0	1000.0	99999	10.110004	57.117702	1038.0728	-531.83215	10.111393	57.156464	988.8722	-539.72	-14.984092	106.74499	2373.543450117111
26	24.42709	34.614574	71.81977	-142.47646	1606.4066	92.05028	1768.2804	1462.491	-105.80739	40.75905	-52.38783	-168.61043	1567.6923	89.58874	1736.8794	1438.1138	1636.4202	63.948746	1764.22	1564.8595	60.0	1000.0	42.2	1000.0	1000.0	103999	10.011621	59.34789	905.07263	-591.83167	10.009831	59.35584	840.91864	-560.4761	-15.751126	104.751	2468.475177049637
27	22.93422	26.585798	72.77805	-76.91418	1622.1833	79.60717	1773.6799	1568.1794	-73.5401	27.15007	-42.22397	-139.62607	1553.1072	58.745655	1631.8011	1434.4863	1611.0668	68.00334	1672.4435	1462.1324	59.10294	1000.0	35.5	1000.0	1000.0	107999	10.643473	63.54184	903.1461	-575.2109	10.643356	63.56519	853.9207	-588.1897	-16.386965	101.85602	2563.8466613292694
28	32.92656	28.46801	77.7717	-82.37758	1594.1992	46.357998	1668.6648	1560.9592	-80.96925	19.48497	-51.39695	-119.44928	1579.7317	80.75656	1739.6409	1437.2433	1574.7627	104.5717	1764.5107	1362.8721	50.392406	1000.0	41.6	1000.0	1000.0	111999	11.270343	70.19012	975.8335	-540.6233	11.271543	70.20692	997.2404	-552.4791	-16.773624	97.98381	2658.8383734226227
29	-31.480387	590.62994	72.06586	-5174.9434	1601.6193	48.87365	1663.9495	1559.6215	-81.547714	29.537777	-42.172092	-135.35982	1613.5734	87.455605	1734.7761	1432.2883	1581.8928	60.92401	1663.8055	1460.3225	51.896103	1000.0	39.7	1000.0	1000.0	115999	11.672696	74.62136	1049.3807	-523.6656	11.671725	74.67575	1006.05273	-535.212	-17.384203	125.90514	2753.5210959911346
30	36.193428	22.633049	84.06438	-16.404333	1639.8171	59.81101	1761.4326	1559.2452	-66.96681	22.159618	-41.089886	-117.053	1572.3593	63.18945	1643.8499	1445.8441	1599.1155	48.805294	1659.6334	1557.7805	47.164707	1000.0	34.7	1000.0	1000.0	119999	10.83729	72.42589	941.84827	-595.9231	10.837849	72.4466	949.4244	-571.41547	-16.368158	122.48641	2848.956510066986
31	34.590157	23.431944	87.35903	-71.47312	1607.1179	80.65876	1758.2427	1555.0826	-69.83301	22.62169	-40.654167	-108.76549	1537.5077	44.55788	1637.2821	1438.1573	1647.4642	53.33707	1756.2876	1557.8859	43.813187	1000.0	30.8	1000.0	1000.0	123999	11.05331	70.0218	907.9772	-620.1	11.051461	70.03674	893.0872	-654.90375	-16.671564	107.028015	2943.2951719760895
32	34.069862	21.49916	78.5257	-54.861984	1571.8635	71.07258	1664.2886	1458.798	-59.991096	21.219467	-30.431349	-94.76145	1592.6646	66.3372	1742.1234	1542.066	1561.5378	90.46941	1762.708	1458.6672	40.92857	1000.0	26.8	1000.0	1000.0	127999	12.287824	70.96759	869.495	-535.1719	12.2874365	70.98853	860.28876	-542.27875	-17.922625	101.07897	3038.922657251358
33	3.5693123	271.53525	63.174225	-2521.6184	1627.8478	67.33388	1770.9799	1562.5701	-72.57054	45.709915	-39.46141	-203.71483	1607.9772	66.89469	1748.1989	1543.3258	1637.6617	79.68095	1769.667	1561.141	45.636364	1000.0	36.3	1000.0	1000.0	131999	11.891378	67.96145	940.81866	-483.99384	11.892855	67.989174	852.8649	-505.25058	-17.112612	128.3989	3134.0909922122955
34	32.5139	22.756622	81.10927	-72.71282	1611.5405	81.47456	1761.5023	1457.7637	-67.60742	32.176975	-38.613	-158.25899	1590.3499	67.07551	1739.3501	1538.802	1602.0836	65.83134	1758.5992	1558.537	42.860214	1000.0	37.0	1000.0	1000.0	135999	10.889663	64.92354	839.44666	-559.45215	10.886221	64.942696	850.69836	-540.2869	-16.34584	103.255424	3230.172331571579
35	64.17202	209.10127	1902.7616	-12.857354	1626.2501	66.453926	1766.9602	1563.3876	-79.68297	44.21569	-39.23231	-199.8453	1569.1077	64.19478	1640.9113	1437.2722	1564.9863	45.168804	1666.3375	1464.3812	50.670887	1000.0	32.0	1000.0	1000.0	139999	10.554425	66.72151	862.1731	-531.7105	10.551408	66.75899	817.9036	-558.4734	-16.097929	107.00896	3326.2147619724274
36	43.636227	25.235506	93.58054	-75.35578	1587.8754	62.077335	1669.8976	1456.1523	-77.134834	30.873487	-39.181602	-144.05467	1581.8704	65.635216	1737.5731	1536.5989	1608.6149	68.99204	1673.1367	1461.008	47.188236	1000.0	43.1	1000.0	1000.0	143999	10.516075	68.32951	780.0442	-594.7399	10.512894	68.348526	800.94965	-575.6935	-15.981512	110.05134	3422.464713573456
37	39.531517	23.807411	77.88579	-80.73441	1589.9932	44.987404	1659.6727	1559.4418	-77.81592	25.517426	-33.90507	-111.87128	1602.7828	78.04669	1736.3225	1529.619	1620.649	64.288895	1759.2317	1562.0032	46.95294	1000.0	33.0	1000.0	1000.0	147999	11.477438	70.00495	833.13214	-551.5765	11.473585	70.01687	827.5977	-548.7102	-16.764305	100.680435	3519.5419585704803
38	36.337906	30.701508	82.643036	-104.406876	1583.093	60.73753	1664.8582	1460.6451	-64.8787	24.67524	-34.224953	-126.04008	1597.2657	48.90923	1640.1553	1534.4572	1602.6377	66.23396	1665.9423	1463.9791	46.89412	1000.0	32.9	1000.0	1000.0	151999	13.448257	75.04459	917.1782	-543.4098	13.444771	75.04742	915.48846	-494.72128	-18.80535	101.99171	3613.7887709140778
39	17.527967	106.208374	68.5116	-902.7728	1617.2559	67.57536	1768.1537	1564.3805	-63.053352	16.35043	-33.701447	-85.214264	1586.821	80.135925	1735.7509	1438.3739	1607.9918	49.320858	1669.3945	1565.0651	49.296295	1000.0	29.1	1000.0	1000.0	155999	14.465825	80.54404	980.83154	-532.9801	14.461633	80.57543	961.3999	-540.056	-20.059515	123.86539	3710.2673234939575
40	49.078823	182.7763	1613.9923	-34.069508	1581.9973	74.25087	1663.7334	1460.9779	-63.4964	21.178894	-46.950603	-108.880066	1576.3611	49.42686	1638.2418	1534.492	1572.19	93.65889	1761.2986	1365.2579	52.82895	1000.0	34.4	1000.0	1000.0	159999	14.558346	82.43424	1018.6017	-555.83057	14.55651	82.45382	990.1277	-552.64484	-20.174784	126.110405	3806.6683518886566
41	36.01688	30.50456	78.47978	-86.20359	1628.2043	60.39625	1751.0991	1547.2476	-57.91448	17.373238	-28.647123	-95.12633	1571.3186	79.81214	1732.0115	1431.5629	1589.6406	79.1632	1748.7877	1453.3182	47.95181	1000.0	31.8	1000.0	1000.0	163999	15.270436	83.73022	1005.9145	-554.90344	15.268798	83.75522	983.9731	-536.3621	-20.733965	114.92353	3903.6287848949432
42	-2.3420475	268.98495	107.12241	-2168.044	1556.9916	71.14838	1670.6626	1364.8591	-73.70189	22.278456	-45.433956	-123.50094	1612.0518	60.523228	1731.1482	1528.0457	1597.1952	64.68352	1671.8257	1466.2994	60.089554	1000.0	33.0	1000.0	1000.0	167999	16.71407	86.82145	960.03546	-550.06274	16.715694	86.84858	980.84814	-560.9373	-21.889078	140.53	4000.247613430023
43	-18.850258	396.84167	84.208145	-3629.6504	1609.2402	66.821815	1749.8792	1548.2229	-75.13532	11.871207	-55.07322	-102.426704	1585.357	67.30264	1638.0668	1433.0083	1600.4285	50.8648	1653.6874	1547.7396	46.788235	1000.0	21.4	1000.0	1000.0	171999	16.130762	81.256165	910.5602	-547.32904	16.132483	81.29911	903.94904	-535.75885	-21.754007	136.158	4097.3162224292755
44	-99.04408	262.27585	75.959656	-3735.7708	1579.1826	66.85818	1729.9166	1527.3335	-65.664825	6.9182425	-50.56588	-75.30118	1515.1985	74.78299	1635.3275	1433.7367	1608.956	39.124958	1632.0052	1530.4517	20.446701	1000.0	17.1	1000.0	1000.0	175999	24.10066	74.47807	906.8468	-587.5746	24.09844	74.5141	900.4105	-603.9679	-35.294376	165.5421	4193.200000762939
45	-40.53642	338.96686	38.515553	-3317.0154	1568.0306	54.131577	1659.9473	1457.857	-71.70974	18.683872	-47.141476	-111.219284	1609.1742	80.16075	1749.3545	1447.4791	1558.0637	63.734295	1660.1667	1457.527	42.010525	1000.0	35.9	1000.0	1000.0	179999	36.904186	72.31914	922.49677	-586.28784	36.89797	72.365814	952.07025	-631.3737	-46.071735	174.83563	4290.845482826233
46	46.83807	264.02008	2387.4438	-35.498306	1623.757	49.828743	1666.7765	1561.3024	-67.53634	28.03711	-38.388317	-138.55981	1560.3357	40.316147	1642.9663	1536.6804	1623.8523	92.06128	1765.0498	1464.0782	50.1625	1000.0	34.3	1000.0	1000.0	183999	37.103302	71.08519	932.5824	-640.83746	37.098587	71.10217	918.0062	-606.0409	-45.508423	164.40799	4391.0252985954285
47	33.21561	23.802769	71.30259	-61.12739	1562.6542	55.343044	1655.0609	1447.5466	-65.610565	26.610823	-21.789719	-113.768105	1580.6722	49.39064	1643.0967	1538.1895	1592.9578	81.30223	1756.7983	1549.4509	47.891567	1000.0	33.4	1000.0	1000.0	187999	34.178326	70.57027	949.69995	-643.4508	34.17855	70.60227	939.51056	-584.5281	-41.50607	151.28973	4487.770205259323
48	30.900604	30.454554	69.90509	-71.32577	1550.8997	63.007217	1651.1759	1450.6155	-74.42763	28.21386	-31.312143	-113.190125	1564.4921	39.73507	1645.0764	1539.6903	1611.6146	66.92654	1751.9191	1548.5256	49.48148	1000.0	44.3	1000.0	1000.0	191999	30.794678	69.34907	951.16235	-644.59686	30.795683	69.39096	970.0872	-627.12555	-38.03707	149.76547	4584.229473352432
49	-6.6995916	245.13274	63.96541	-2234.4773	1645.1702	76.315155	1769.0172	1560.9038	-76.06961	14.786416	-47.871326	-103.25157	1545.9584	53.34929	1639.0505	1439.4094	1590.4866	66.94424	1664.6195	1455.5149	47.294117	1000.0	34.4	1000.0	1000.0	195999	28.34429	67.74763	922.1664	-612.6236	28.346994	67.791756	943.6877	-655.39136	-34.64479	162.51938	4684.2648985385895
50	-25.198517	444.91364	59.794952	-4167.7427	1587.976	59.730907	1669.0686	1469.4191	-60.346107	15.097563	-37.08759	-86.93096	1599.3301	48.194027	1642.5697	1536.4259	1628.2415	48.34561	1670.6765	1568.1027	45.454544	1000.0	33.4	1000.0	1000.0	199999	23.692745	64.21758	890.65796	-719.9548	23.696144	64.24547	903.6507	-694.9082	-29.453419	150.76003	4783.592426538467
51	31.607918	47.236977	80.14547	-297.95355	1619.7668	67.46353	1769.2245	1567.0469	-100.24007	52.65606	-47.168156	-196.5925	1563.2029	59.069393	1643.0396	1445.5944	1619.3792	91.5774	1769.347	1473.24	54.835617	1000.0	48.2	1000.0	1000.0	203999	18.775774	61.114468	825.05255	-727.1632	18.775541	61.118973	842.50525	-791.6743	-24.372528	151.04344	4883.165896654129
52	38.267128	38.574	89.79765	-208.6574	1623.0419	67.33655	1773.8507	1569.4482	-70.55294	20.045473	-39.312107	-102.36026	1605.5154	48.24146	1656.3119	1553.2262	1601.0271	65.20436	1673.5054	1466.1223	54.767124	1000.0	33.9	1000.0	1000.0	207999	15.792567	58.60316	832.6095	-766.44244	15.787944	58.630352	820.4523	-723.4692	-21.338634	137.69371	4981.0694625377655
53	35.033703	32.94341	78.857025	-67.22465	1620.2013	82.53355	1774.322	1565.2738	-76.05519	18.379827	-48.3181	-99.49725	1549.1731	64.267136	1651.0201	1446.852	1609.8674	50.00762	1674.2775	1560.7399	49.9625	1000.0	38.0	1000.0	1000.0	211999	14.612756	59.59928	860.51526	-658.4108	14.609704	59.64185	936.8042	-676.454	-19.96563	139.27634	5080.117028236389
54	37.285725	28.783253	95.27127	-82.62412	1523.9084	46.344097	1555.3392	1452.2874	-71.35188	16.005905	-51.460766	-112.11067	1594.4291	49.620846	1647.9692	1541.8438	1584.3918	79.19953	1756.0786	1452.8386	53.527027	1000.0	37.6	1000.0	1000.0	215999	14.026361	59.859463	931.43207	-771.7849	14.022018	59.876347	946.9216	-752.5579	-19.109426	133.45879	5178.456986427307
55	30.288874	29.906134	72.33144	-40.62147	1680.8138	83.54564	1771.8582	1568.027	-63.249504	13.915181	-48.988712	-91.21884	1575.9971	77.60536	1746.6033	1447.607	1600.4484	46.183372	1672.4523	1567.9243	45.33708	1000.0	31.5	1000.0	1000.0	219999	13.639334	62.375965	1006.4068	-747.2225	13.637862	62.400776	949.8221	-777.1092	-19.090382	138.08334	5273.625148296356
56	42.637665	26.06418	77.76165	-81.22407	1585.966	39.237923	1664.9015	1562.393	-73.389565	24.015715	-38.254395	-133.42464	1607.1351	79.23485	1746.3359	1449.39	1586.4543	87.15598	1766.339	1466.3973	47.583332	1000.0	40.5	1000.0	1000.0	223999	14.920019	66.98874	1113.1393	-676.65265	14.921509	67.02233	1138.0453	-738.71576	-20.29443	142.6894	5369.008833646774
57	41.360268	35.902866	84.68497	-145.9322	1606.8267	66.97758	1669.1237	1466.3195	-55.323425	12.756519	-35.100452	-76.600075	1565.9954	97.987335	1745.79	1444.8547	1616.7799	67.551735	1767.99	1564.2963	51.805195	1000.0	33.1	1000.0	1000.0	227999	16.258902	74.033264	1081.4141	-688.04895	16.256517	74.06917	1086.6106	-761.6852	-21.85134	138.87437	5469.640404224396
58	-4.024562	365.96075	86.177734	-3345.9666	1576.5059	59.832993	1656.2749	1455.4938	-68.58686	17.042336	-48.21291	-111.52762	1573.7146	65.79776	1647.838	1441.72	1646.2213	95.24374	1756.7976	1453.842	46.941177	1000.0	30.5	1000.0	1000.0	231999	17.382832	82.37699	1170.8219	-698.1926	17.382086	82.42403	1155.42	-725.2724	-23.08669	174.25957	5570.215184211731
59	4.077337	299.33038	79.680466	-2629.457	1619.2494	67.738396	1673.1782	1466.9132	-77.80294	33.86074	-38.268917	-161.33972	1546.901	61.880764	1644.2748	1447.8345	1598.6384	90.397804	1768.7281	1467.2642	50.63291	1000.0	38.6	1000.0	1000.0	235999	17.754934	86.45786	1148.6282	-672.1472	17.749647	86.49375	1150.288	-659.7374	-23.569382	172.30978	5667.760922431946
60	28.51421	29.839598	76.93798	-57.964123	1596.7693	65.91373	1756.1492	1554.7894	-69.48499	11.554822	-49.714172	-86.19316	1582.2686	67.060326	1730.8873	1530.169	1568.2147	69.133804	1661.1373	1458.8617	47.10588	1000.0	29.4	1000.0	1000.0	239999	17.735092	89.57489	1133.2905	-671.92065	17.729252	89.60637	1119.3712	-650.7309	-23.957312	174.00465	5772.65291762352
61	7.5058217	224.6332	68.8214	-1947.8242	1603.1912	65.86916	1761.6066	1561.1208	-69.39466	20.907593	-47.2999	-114.13629	1577.3961	65.51979	1649.6256	1442.2435	1594.2986	45.019955	1664.6464	1562.9885	51.48718	1000.0	31.5	1000.0	1000.0	243999	17.369373	90.88611	1168.7255	-784.77325	17.363049	90.942024	1176.5245	-695.0423	-23.214802	229.68279	5869.844745874405
62	44.966915	91.759094	845.4509	-45.537582	1519.518	60.394886	1640.3008	1438.0717	-73.2932	23.733643	-40.613632	-122.30335	1590.6907	67.31754	1642.5505	1440.7206	1558.7222	59.297943	1639.0732	1438.9471	47.261906	1000.0	37.1	1000.0	1000.0	247999	18.936129	93.32352	1196.5325	-711.49255	18.930574	93.39369	1208.8928	-701.68176	-24.863468	223.4638	5967.402209997177
63	-47.13275	735.06506	69.34179	-6493.591	1581.5896	60.702957	1663.6956	1462.3093	-73.682724	20.83535	-54.187138	-129.86195	1579.3643	64.60981	1651.045	1446.9462	1602.9908	66.53483	1665.4819	1462.4534	51.410255	1000.0	31.0	1000.0	1000.0	251999	19.401516	94.82474	1317.3148	-771.28503	19.39675	94.88342	1308.6924	-721.5794	-25.527168	250.78087	6063.898970603943
64	-30.186422	470.94507	71.534874	-4262.589	1606.526	49.676487	1670.1384	1558.2023	-79.47537	30.876583	-48.65662	-135.99612	1571.7252	87.54583	1752.1182	1450.1799	1595.176	77.94778	1765.9635	1465.1316	49.17073	1000.0	34.8	1000.0	1000.0	255999	18.902294	95.328064	1433.2084	-727.69366	18.90124	95.36219	1429.899	-722.2443	-24.994364	243.55	6160.938594579697
65	22.613491	30.051514	66.85829	-82.492935	1613.4529	50.19462	1665.7041	1561.9264	-63.852253	9.103637	-52.500122	-80.68464	1581.5771	49.085697	1643.2067	1540.6198	1613.6832	66.66388	1762.1315	1561.1906	42.20213	1000.0	28.7	1000.0	1000.0	259999	18.137117	93.84455	1414.4994	-743.1873	18.136393	93.88379	1418.8086	-739.64166	-24.36441	244.7451	6256.512779951096
