Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTransferEpRet	StdTransferEpRet	MaxTransferEpRet	MinTransferEpRet	AverageRandomEpRet	StdRandomEpRet	MaxRandomEpRet	MinRandomEpRet	AverageAdvEpRet	StdAdvEpRet	MaxAdvEpRet	MinAdvEpRet	EpLen	TestEpLen	TransferEpLen	RandomEpLen	AdvEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-31.727188	8.156635	-14.013461	-57.821644	1602.1941	67.24803	1755.1735	1548.8491	-58.805992	13.431041	-33.841373	-84.10241	1608.2389	64.50796	1738.4261	1536.8154	1561.682	54.68266	1654.2349	1450.9231	19.41262	1000.0	31.8	1000.0	1000.0	3999	-1.5110595	2.0933967	7.5269055	-14.727375	-1.5114053	2.0934098	7.4997883	-14.57051	-1.3027438	0.52294767	87.14993977546692
2	-31.741282	9.045759	-12.0241	-99.602684	1569.572	60.689556	1651.3358	1447.8165	-59.973278	15.417057	-40.2318	-78.38088	1565.4021	89.102585	1735.8232	1436.8247	1559.4587	81.93865	1650.6722	1353.6533	19.407766	1000.0	28.9	1000.0	1000.0	7999	4.355111	5.5274644	24.689838	-123.54264	4.355425	5.529216	24.223682	-119.693726	-9.758544	1.5508658	179.3497703075409
3	-61.88437	564.9507	23.234137	-7226.974	1599.9922	65.68984	1661.2727	1461.3695	-50.30002	7.9077673	-39.30585	-65.249825	1563.5248	58.7475	1642.7687	1446.6299	1609.8231	81.23543	1760.599	1458.793	24.635803	1000.0	21.6	1000.0	1000.0	11999	12.484346	19.894863	86.50213	-545.06775	12.484271	19.903297	86.988495	-573.5373	-20.386335	11.746672	273.53284192085266
4	6.1886415	13.502161	54.999462	-22.677702	1564.2134	63.40213	1666.1973	1464.3154	-73.079636	27.441982	-44.834946	-126.03817	1540.1354	77.70624	1641.1147	1338.4818	1603.9407	48.6003	1665.4435	1563.5637	30.751938	1000.0	28.8	1000.0	1000.0	15999	17.4389	29.525707	129.75368	-632.9958	17.43769	29.529202	136.39737	-673.0386	-25.328009	14.430323	368.01821517944336
5	-22.59813	297.42905	72.73021	-2487.4272	1585.8099	74.64768	1764.7561	1462.9022	-56.255302	8.028924	-44.54242	-69.19132	1592.098	67.50033	1733.7052	1528.6909	1656.303	69.33344	1766.892	1565.1465	57.6	1000.0	26.4	1000.0	1000.0	19999	14.281931	33.23592	129.22856	-698.61584	14.280394	33.24657	135.79976	-822.23376	-21.830847	36.750782	462.63324904441833
6	-62.689896	624.43	53.43154	-5884.515	1602.3346	66.98103	1765.5603	1558.8811	-62.434166	23.887852	-44.297626	-128.96959	1582.6721	91.46703	1731.8671	1433.7257	1592.2933	65.21622	1764.4136	1559.5039	45.56818	1000.0	24.9	1000.0	1000.0	23999	8.939293	41.49339	198.05095	-747.3821	8.935828	41.494373	202.89053	-738.3139	-17.130217	73.62408	556.4261538982391
7	12.306741	175.89085	1756.292	-55.935406	1596.4216	63.126446	1763.9028	1565.205	-62.533325	38.276478	-37.592243	-175.95326	1555.2695	39.24939	1634.0719	1533.6696	1567.0522	89.83412	1768.2614	1463.9237	39.82	1000.0	28.4	1000.0	1000.0	27999	6.4266787	35.369556	232.72807	-633.41675	6.4265504	35.339085	239.01869	-649.48584	-14.357692	50.95079	650.9253907203674
8	39.085987	249.3769	2057.3281	-36.834667	1618.4015	79.52682	1757.6027	1554.0792	-96.30457	45.33736	-45.63264	-197.48215	1576.206	49.520416	1638.0337	1535.1094	1627.6165	45.149498	1661.5509	1555.9749	59.731342	1000.0	45.7	1000.0	1000.0	31999	5.3461456	24.70155	309.40402	-471.813	5.3446617	24.739637	278.9338	-448.36334	-12.49275	32.654694	744.6731569766998
9	-78.14582	581.6933	45.176926	-4940.0425	1649.5856	53.471363	1756.21	1557.9268	-88.29221	27.406155	-49.056374	-125.409195	1598.8499	64.08359	1729.03	1527.9742	1619.0364	81.59443	1762.6108	1554.4589	55.94366	1000.0	35.5	1000.0	1000.0	35999	5.706333	25.195633	483.58932	-383.2214	5.7017283	25.22958	498.37927	-344.57538	-12.244296	43.007492	840.7115948200226
10	-24.12119	274.82513	54.27717	-2317.475	1598.5836	66.43307	1757.0894	1554.5974	-73.553024	24.587875	-40.95127	-114.61785	1601.7888	65.03068	1734.332	1530.1306	1590.7253	46.27219	1661.9113	1556.926	56.760563	1000.0	30.0	1000.0	1000.0	39999	4.491966	27.65074	648.8112	-465.80347	4.4854264	27.673399	664.1647	-409.66473	-10.753068	59.97643	934.4828560352325
11	1.5869795	21.767944	53.512703	-58.665432	1569.8385	75.82859	1652.2322	1446.6509	-80.99637	26.302164	-42.129395	-114.65492	1589.8762	67.00948	1730.7821	1526.7756	1578.5356	63.878574	1651.745	1450.9753	48.21687	1000.0	34.1	1000.0	1000.0	43999	3.101277	30.956957	732.6081	-494.24948	3.099208	30.986214	740.1116	-478.66873	-9.834358	66.62047	1028.2113449573517
12	-35.29019	349.4482	80.79024	-3051.847	1564.4736	63.22162	1665.4397	1462.2135	-76.73917	17.613638	-50.57662	-117.39479	1557.6135	64.12439	1628.6404	1427.1029	1565.3143	62.62368	1663.5989	1463.8312	52.605263	1000.0	27.2	1000.0	1000.0	47999	2.1203506	30.824835	801.5943	-529.6064	2.120561	30.829004	789.00903	-511.7478	-8.278471	80.274055	1121.1688113212585
13	-35.533237	401.0134	65.006775	-3408.8003	1592.6848	65.46653	1665.8025	1459.6688	-81.50522	35.06252	-47.52	-172.07483	1539.4443	63.925514	1640.1389	1436.875	1622.3937	49.060402	1664.25	1561.257	55.444443	1000.0	30.1	1000.0	1000.0	51999	-1.0494468	29.71493	838.3453	-641.8833	-1.0560246	29.672773	827.55945	-573.10834	-5.076797	82.13828	1214.9210758209229
14	11.441107	33.64496	161.78897	-40.307697	1605.2251	67.151566	1755.6189	1550.9717	-63.78222	13.974987	-40.755844	-88.666046	1579.3638	48.413857	1641.6301	1538.7145	1645.6937	69.091995	1760.1422	1558.6462	57.492752	1000.0	27.5	1000.0	1000.0	55999	-1.3862437	30.820587	859.83484	-674.58606	-1.3876697	30.822353	861.17224	-629.11224	-4.7676873	85.369705	1309.4674055576324
15	39.974327	338.00162	2838.7986	-80.9864	1589.3406	74.26311	1670.814	1468.1082	-70.00619	25.09698	-45.789444	-135.25847	1565.6283	101.22713	1736.4026	1433.6537	1617.8499	50.18479	1669.9565	1565.5613	57.857143	1000.0	29.4	1000.0	1000.0	59999	1.7305672	35.645767	990.53357	-705.11536	1.7325442	35.65114	936.66046	-683.4842	-7.665397	103.18178	1404.7413973808289
16	8.248031	32.416237	104.07148	-86.540764	1626.822	65.47394	1763.6772	1564.6412	-60.569817	16.512688	-42.19663	-100.93631	1575.337	67.32372	1737.539	1531.4888	1597.0535	65.27553	1670.9004	1463.4352	57.695652	1000.0	26.6	1000.0	1000.0	63999	3.659544	39.815876	923.8701	-623.94354	3.6639838	39.824257	898.11646	-637.42664	-9.294391	76.629074	1525.6572003364563
17	-45.99214	442.18896	68.73574	-3546.2244	1628.5803	65.41508	1673.8163	1472.8573	-86.24922	35.27105	-38.63519	-149.25699	1580.5619	66.91526	1633.0323	1430.9076	1647.6539	41.135616	1672.3801	1565.304	62.875	1000.0	37.8	1000.0	1000.0	67999	4.79727	44.72912	958.9297	-656.89777	4.8012447	44.775585	925.4342	-599.8378	-10.0865135	78.42989	1619.9875235557556
