Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTransferEpRet	StdTransferEpRet	MaxTransferEpRet	MinTransferEpRet	AverageRandomEpRet	StdRandomEpRet	MaxRandomEpRet	MinRandomEpRet	EpLen	TestEpLen	TransferEpLen	RandomEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	16.736622	3.4831645	32.336098	10.040011	50.91076	19.320662	75.74047	28.270016	61.245068	23.698156	96.111595	29.004091	70.47065	18.573814	120.944534	44.81752	14.1737585	54.8	63.9	64.6	3999	11.268806	7.131885	26.530596	-1.8572865	11.269027	7.130942	26.667196	-2.2766867	-2.7257328	1.7005743	7.3335238	-12.180782	-12.55905	0.4622499	46.79391527175903
2	16.937029	3.4202776	35.72758	11.053254	63.42333	17.2028	84.83674	29.88851	58.844067	21.002853	82.77562	25.723606	59.643463	16.62372	78.99135	32.371857	14.393502	69.2	79.8	64.6	7999	27.17598	12.66495	47.393616	-4.2013373	27.17628	12.662932	47.591003	-4.513378	-1.8302587	2.9691885	17.814405	-14.395061	-29.663528	1.0855019	107.99179673194885
3	25.403553	25.787586	256.64542	10.749739	68.078804	17.922602	86.31171	28.652485	81.339355	20.845274	114.8023	53.377945	75.962326	14.796861	109.56907	56.276558	24.63125	70.8	89.8	81.7	11999	43.783386	17.406929	72.92506	-8.9171095	43.78354	17.403713	73.40127	-9.216763	-1.0821769	3.793738	27.230019	-13.960226	-47.446922	4.5246882	167.4215657711029
4	67.405495	24.950272	133.61732	16.653324	88.722275	18.031149	112.29088	54.79239	95.161995	12.3398285	120.98474	77.839584	99.13141	18.661638	133.28491	77.991806	73.218185	82.9	71.9	85.3	15999	55.699184	21.384935	80.903656	-12.906551	55.698807	21.38303	79.16305	-12.870683	-0.9437816	3.6055288	25.797554	-12.923552	-59.265804	5.3572464	227.78418111801147
5	76.54562	18.315073	127.80698	34.8182	141.83244	54.288593	291.82916	82.83505	197.6672	208.14682	797.9738	87.40798	107.04822	31.857025	154.633	37.917053	79.9	148.6	211.7	102.1	19999	60.59412	24.513441	86.49069	-14.2868595	60.594154	24.510986	86.297226	-15.882828	-0.99682236	3.541435	27.604116	-13.06022	-63.79133	4.9491057	292.0837993621826
6	83.81464	37.1188	213.64522	12.739479	189.27982	145.62555	595.5778	100.620674	164.40189	172.24866	589.0431	16.926857	237.93391	216.91464	691.5977	61.296352	106.02702	256.3	233.3	327.6	23999	62.250965	27.149569	93.19976	-13.461557	62.251026	27.14587	92.58391	-13.6358185	-1.1098387	3.379082	29.371834	-13.383631	-65.12576	5.793252	361.3122501373291
7	98.45976	38.6376	186.93286	28.216526	523.0833	346.27554	905.06964	82.60609	202.12776	77.24044	372.80695	112.54105	417.96686	321.2036	899.9187	45.964214	121.411766	593.7	220.9	473.5	27999	62.8548	28.891907	117.83495	-11.087793	62.854855	28.889406	118.857315	-12.372076	-1.0741973	3.2840314	31.775993	-13.865818	-65.414696	7.8943706	434.1489133834839
8	125.88157	62.302246	272.4424	20.186056	282.72403	206.04247	874.4233	86.64763	149.87413	114.71669	474.51614	61.926346	210.9248	181.61952	734.18384	86.84355	169.69565	345.3	223.6	277.8	31999	63.58399	29.514023	126.50448	-12.418175	63.584663	29.512354	123.787254	-14.755823	-1.0105236	3.253911	28.80865	-14.401437	-65.91105	9.956765	501.20604515075684
9	126.91947	78.5302	336.42084	46.520443	134.20175	47.6335	198.969	27.524202	134.86311	48.33621	266.74768	102.38548	132.08406	30.348934	187.90775	67.87098	196.36842	148.1	167.7	138.4	35999	64.48544	29.96976	128.90451	-15.322008	64.48593	29.968826	127.90389	-12.860584	-0.95845133	3.348152	28.17466	-14.054785	-66.61152	11.133717	565.4355635643005
10	184.66132	118.277275	600.60504	83.14395	220.49075	158.80933	599.6055	54.405704	220.42728	182.88324	727.7158	41.54525	270.23373	191.60999	601.9597	29.237946	243.0625	318.5	276.9	398.8	39999	65.976006	30.376238	139.86908	-16.268072	65.97658	30.377953	140.62975	-15.291475	-1.0121883	3.2044382	32.595886	-11.886463	-67.974655	12.160301	637.4884705543518
