Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTransferEpRet	StdTransferEpRet	MaxTransferEpRet	MinTransferEpRet	AverageRandomEpRet	StdRandomEpRet	MaxRandomEpRet	MinRandomEpRet	AverageAdvEpRet	StdAdvEpRet	MaxAdvEpRet	MinAdvEpRet	EpLen	TestEpLen	TransferEpLen	RandomEpLen	AdvEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
14	609.49347	18.700802	625.38684	579.60266	409.12714	164.85092	686.8844	194.21051	380.1302	143.00334	689.1237	190.25026	-7.2894044	0.71038455	-6.1036067	-8.827242	345.89243	138.34296	684.88727	186.77623	1000.0	607.5	584.0	13.5	494.7	55999	73.6666	25.511637	96.77901	-12.057099	73.66668	25.515505	96.9091	-18.671164	-1.210265	2.6967127	22.820889	-14.982947	-74.91236	3.1329052	1241.5862474441528
15	609.95935	9.171716	620.91907	598.0089	460.517	78.168526	622.44543	375.50104	460.70966	118.926994	623.5608	231.40862	-6.0176024	0.8392169	-4.1243925	-7.0945034	431.434	97.00212	635.4345	254.33066	1000.0	701.1	747.9	14.2	660.3	59999	76.26572	25.297714	98.91494	-20.597935	76.26552	25.300762	98.8457	-43.55864	-1.2504504	2.6732857	19.425657	-12.456223	-77.51485	2.6504424	1334.5603921413422
16	616.9121	24.217085	656.0364	590.1909	431.95547	111.43311	596.65515	221.71864	373.87006	118.28812	601.8179	212.08556	-9.615038	0.9075824	-8.383568	-11.523622	450.88095	121.054016	648.9858	224.76578	1000.0	744.0	616.4	12.7	780.1	63999	79.21132	24.954166	99.88478	-11.972669	79.21146	24.961422	101.50254	-26.095613	-1.3292646	2.6725395	20.003666	-16.598394	-80.4119	2.9049046	1429.024376153946
17	616.8292	9.911956	627.98346	606.2212	285.71713	53.535072	390.867	219.78214	233.702	40.627518	335.0357	193.92679	-6.8504806	0.97989696	-5.3740487	-8.633061	288.2308	33.65917	334.58908	240.13394	1000.0	513.3	428.5	13.4	546.1	67999	81.52634	24.82251	102.51497	-26.573963	81.52622	24.826197	101.677185	-44.357468	-1.4713339	2.6339955	19.886883	-13.716848	-82.69564	2.5965185	1510.992980003357
18	615.36725	8.871782	628.3861	603.432	372.14532	39.222443	450.68594	306.37134	412.1342	116.456406	592.1418	214.61598	-6.696151	0.41924942	-5.864539	-7.13261	354.05353	49.398663	419.03754	263.50665	1000.0	632.3	710.7	13.0	596.2	71999	83.87015	24.516712	104.45754	-15.178269	83.87015	24.520098	103.73817	-47.75574	-1.5832043	2.6015427	21.634363	-13.06512	-85.02889	2.4026484	1600.110630273819
19	607.02405	6.8943706	615.22144	596.63135	255.7406	19.754364	279.36203	213.61536	284.71405	123.348564	586.1805	175.42078	-6.9271684	2.8711667	-3.9469569	-14.738807	244.70117	56.334927	324.51068	153.65388	1000.0	454.2	514.4	14.6	431.7	75999	86.27549	24.215591	105.07332	-20.8618	86.27546	24.217808	106.349174	-21.915709	-1.6033914	2.5993931	20.275713	-13.881215	-87.43437	2.286103	1679.3653757572174
20	540.01263	123.66614	619.5076	326.0273	308.90952	137.00677	685.9085	215.63889	379.987	155.45312	687.2333	205.1743	-5.0451546	0.53415555	-4.428524	-6.1134043	336.3405	128.16734	684.76794	223.49586	895.75	464.6	601.0	14.2	516.4	79999	88.53079	24.082342	106.991	-15.574546	88.53073	24.085962	110.34582	-37.28149	-1.6812845	2.6109626	21.892103	-13.182003	-89.67414	2.5646832	1763.4196000099182
21	551.0402	107.650314	624.4078	337.781	440.1424	195.62971	673.91565	169.94554	434.87134	177.43983	680.0951	202.353	-5.6181865	0.6666459	-4.578185	-6.9080215	374.76285	246.12819	682.6177	99.82248	915.4	699.7	711.3	14.2	599.3	83999	90.31946	23.854704	109.880295	-31.791378	90.31925	23.861122	108.43791	-40.171257	-1.7681825	2.6092334	19.384567	-14.149591	-91.428856	2.4705293	1855.1630103588104
22	609.854	17.049656	631.6101	585.4262	465.51337	239.08003	680.8522	87.28262	556.7113	148.79646	677.41614	122.180565	-8.743211	2.405981	-6.865067	-15.383203	405.6451	222.93631	599.074	106.025536	1000.0	759.4	918.4	15.0	705.7	87999	91.91098	23.564423	109.00048	-31.727516	91.91133	23.567987	108.48836	-41.91855	-1.8379173	2.5744402	20.950596	-14.115215	-93.008835	2.3369887	1952.277361869812
23	607.098	20.344385	625.40765	575.0431	644.17566	111.83869	767.0713	429.18372	667.57336	110.31194	773.0728	435.8016	-8.022194	1.2779846	-5.9564857	-9.996341	575.6502	192.1255	743.4996	139.40697	1000.0	931.5	943.7	13.3	836.9	91999	93.51053	23.265491	111.9337	-29.805601	93.51035	23.271381	110.464424	-51.49714	-1.8895181	2.5482218	19.99655	-14.152332	-94.61098	2.343606	2055.4064271450043
