Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTransferEpRet	StdTransferEpRet	MaxTransferEpRet	MinTransferEpRet	AverageRandomEpRet	StdRandomEpRet	MaxRandomEpRet	MinRandomEpRet	EpLen	TestEpLen	TransferEpLen	RandomEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	3.2877252	3.3811169	15.831208	-4.6851163	17.755484	1.149956	19.427416	16.23678	17.403242	3.0181217	20.407005	8.856967	17.52036	1.093551	19.492826	15.817274	17.61674	22.0	22.0	21.7	3999	5.865188	4.780754	22.455107	-7.7420893	5.8655977	4.7811956	22.702972	-8.168221	-2.5561724	1.57306	4.755105	-13.381125	-6.9928455	0.41637385	44.91935157775879
2	2.2194357	3.6194577	12.040342	-10.572448	52.185986	7.452491	65.09641	41.88728	45.57653	8.485659	63.444736	34.613686	59.795113	28.03721	137.43025	35.500984	17.64	59.9	48.0	74.7	7999	17.161833	14.118845	65.38483	-6.655703	17.161184	14.120814	65.26296	-8.2627	0.57382244	2.8083868	14.852287	-15.015644	-20.153511	1.6243689	100.4747269153595
3	10.870151	38.945766	325.25705	-5.919705	160.86105	57.381016	236.65686	91.786026	191.56735	99.7809	477.32272	111.29826	171.7508	35.064194	237.03908	112.585175	29.962122	251.7	305.0	276.9	11999	30.674507	26.91956	108.823425	-8.174538	30.675262	26.92111	109.03485	-7.5197783	1.7659948	3.174701	17.720156	-15.755614	-35.412632	7.2930584	165.04768776893616
4	204.60292	143.85832	598.9142	7.30954	285.65005	127.77416	545.3956	181.82787	354.44852	170.33914	721.3664	193.83232	324.39575	179.24405	624.6955	173.89552	341.81818	427.2	559.6	466.0	15999	41.49754	31.931915	106.805954	-12.599627	41.498642	31.93234	106.58565	-10.374983	1.7246281	3.3330524	19.402424	-16.544176	-45.452343	10.893173	237.77142548561096
5	313.96597	151.42235	660.884	155.68663	327.8034	118.50095	577.72687	186.2123	370.6041	121.5206	594.69617	205.05286	332.66357	86.27801	438.67398	204.36455	494.875	501.5	572.8	510.5	19999	48.553406	31.655449	105.38878	-13.461866	48.553886	31.65584	105.02933	-12.946924	1.8207946	3.309164	21.64974	-13.810774	-51.73015	8.028435	312.5122516155243
6	452.02417	207.96407	671.4581	203.52367	174.17914	38.9305	205.07732	74.45477	197.06522	41.71843	255.32138	122.29188	191.42111	40.099197	280.5283	117.39291	719.0	273.5	325.8	307.1	23999	54.17013	31.320747	96.53279	-13.68304	54.17079	31.322279	97.64215	-13.378775	1.4524978	3.2145221	20.419771	-15.176769	-56.67136	7.465831	378.7251226902008
7	351.5734	208.69127	630.842	140.94026	345.32596	165.02327	623.7359	176.29509	402.14804	145.5212	678.1241	180.39473	295.77972	119.17484	455.5285	179.43915	568.2857	564.3	676.8	486.8	27999	58.801987	30.887924	101.078415	-11.6024065	58.80198	30.88969	97.691696	-12.018929	0.83263415	3.2539668	19.63631	-15.356652	-60.935516	7.4222445	455.1461124420166
8	442.46613	129.36058	641.6303	241.05638	465.29535	151.20319	677.2529	162.80325	442.26398	179.17328	681.1398	143.10725	448.11108	95.70859	680.6927	339.02722	729.6	739.1	722.6	724.4	31999	60.63137	29.66421	102.78094	-20.667297	60.631336	29.666718	100.11685	-19.789679	0.2982856	3.0931554	20.623627	-15.095795	-62.43283	6.410758	543.8923816680908
9	574.29675	16.924652	588.9229	547.4818	226.06372	94.035164	379.99686	88.42938	243.28853	102.12277	356.23477	78.173225	195.85664	69.78619	325.89096	89.56735	965.75	438.8	501.3	390.5	35999	62.61475	28.46625	101.00481	-15.379362	62.614754	28.46834	99.41401	-27.923931	0.2026117	3.0505664	18.020084	-14.062167	-64.29006	6.2536125	624.0025427341461
10	441.1076	166.67369	636.59375	169.96652	229.49724	94.289925	385.721	161.13593	349.60358	137.59706	548.4484	159.84723	272.11273	115.25077	435.77014	144.72209	744.2	381.2	645.2	461.2	39999	64.615395	27.845715	95.31661	-20.34865	64.61532	27.84725	97.58423	-30.557636	-0.07573203	2.9740117	19.386587	-14.5961895	-66.15974	5.2426805	697.3542530536652
