Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTransferEpRet	StdTransferEpRet	MaxTransferEpRet	MinTransferEpRet	AverageRandomEpRet	StdRandomEpRet	MaxRandomEpRet	MinRandomEpRet	EpLen	TestEpLen	TransferEpLen	RandomEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	3.1341212	3.2165704	12.399503	-6.8451962	21.185684	5.2189307	33.231823	16.382212	36.531803	24.675692	107.40332	19.740334	35.14395	33.317253	133.91414	17.385572	17.181034	25.8	52.7	58.5	3999	5.7400727	4.6782813	21.633093	-5.5117893	5.7401967	4.678374	21.888662	-5.660644	-2.636382	1.5517467	7.0505905	-13.334906	-6.8484426	0.4125931	46.04470443725586
2	2.5870547	3.558628	13.131965	-9.404105	17.518204	4.3922625	23.660946	10.494072	23.259823	12.446355	46.85783	11.106083	25.971094	14.064497	60.656002	11.075188	17.333334	25.4	31.4	40.2	7999	12.072327	9.704353	39.395535	-5.7573314	12.07239	9.70535	39.309868	-5.6969695	-1.1962618	2.12489	13.186083	-13.399015	-13.9087925	0.7686636	106.044757604599
3	11.101826	46.44176	324.5553	-6.913627	90.370255	83.66454	321.89322	38.95754	55.129597	10.855459	71.09484	40.51398	62.222374	18.296982	93.228226	37.660175	31.838709	143.6	76.8	93.3	11999	25.094738	26.996857	114.75016	-6.9110065	25.094343	26.998833	115.07629	-7.323658	0.9823454	3.7645013	19.820742	-14.061232	-29.856588	4.990593	168.15533924102783
4	63.611584	69.386696	323.93704	3.3316274	185.64975	71.19088	319.09222	112.84805	167.85178	103.3538	345.38492	72.48507	137.37837	89.58051	395.56647	83.97012	128.83871	341.5	322.0	224.6	15999	43.42761	36.148293	116.66415	-7.4113216	43.427845	36.15021	115.6686	-6.799512	1.6743752	3.7537398	26.17323	-12.677917	-47.79235	11.747395	239.85048627853394
5	370.426	210.35759	664.2207	102.912636	227.64456	180.44832	656.7437	106.08655	216.98904	165.34743	690.49646	92.4983	202.0812	153.94458	650.2944	65.74243	620.6667	322.2	295.6	283.7	19999	50.203106	35.306786	114.13432	-10.307748	50.20289	35.31099	114.64925	-9.194046	1.7945409	3.5779476	25.170816	-14.698998	-53.61761	11.179012	313.3541352748871
6	298.27386	192.6804	630.01056	70.44902	444.7027	168.45697	671.2602	145.79968	503.50635	187.26096	697.80896	154.96877	476.5362	185.92732	652.7333	189.31427	508.85715	782.6	796.2	793.3	23999	58.471367	35.904133	113.9179	-9.141452	58.471195	35.908993	113.644936	-9.706284	1.7594078	3.427706	26.030592	-12.322177	-61.30266	9.485107	403.7286710739136
7	243.861	232.16861	633.9757	21.01944	591.0918	112.98008	678.13544	332.13788	591.13354	29.995993	659.96265	555.32227	500.44687	141.99985	621.82355	133.4061	415.4	937.7	1000.0	887.8	27999	61.54572	34.105057	120.915085	-11.065426	61.545074	34.109417	118.71486	-10.622976	1.4959917	3.3123984	23.235569	-12.601809	-64.01823	8.758441	500.0449798107147
8	571.30804	29.231297	617.0613	535.85004	295.25214	124.11387	644.90735	144.91649	372.1524	191.76765	699.9114	208.31737	392.04648	167.49208	628.6444	241.87651	972.75	427.5	562.8	624.0	31999	62.778793	31.280466	102.9854	-10.707142	62.777954	31.286272	102.37805	-10.4281435	0.87896085	3.0855744	23.324291	-15.034253	-64.69664	7.414767	581.2468066215515
9	526.48364	141.62424	695.72394	277.40067	503.27545	94.868614	683.1748	372.12265	438.97964	105.137825	550.5753	174.5372	509.9768	89.52064	682.45654	398.10333	798.8	763.1	658.1	778.8	35999	64.51297	29.056288	121.19382	-10.895998	64.51292	29.06154	108.52448	-14.255126	0.43074277	3.064888	20.955153	-14.334822	-66.20859	6.5572515	672.4717175960541
10	659.10406	39.25743	720.8934	613.4355	696.7284	6.7803493	713.7623	690.90826	701.6566	14.712778	726.0649	669.2613	700.5782	8.884671	715.88873	689.8812	1000.0	998.6	994.1	998.8	39999	66.00037	27.785315	100.40445	-9.504949	66.0003	27.790216	99.907906	-25.266787	0.08759017	2.9634182	20.077635	-15.449741	-67.50684	5.56854	772.7493543624878
