Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTransferEpRet	StdTransferEpRet	MaxTransferEpRet	MinTransferEpRet	AverageRandomEpRet	StdRandomEpRet	MaxRandomEpRet	MinRandomEpRet	EpLen	TestEpLen	TransferEpLen	RandomEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	2.780212	3.192682	15.087544	-6.2758775	12.839235	0.6547485	13.659809	11.652868	12.596675	1.076774	14.048315	10.606041	12.2961035	0.86539096	13.893419	11.362194	17.215517	20.8	20.7	20.5	3999	5.438157	4.579948	21.95162	-5.4441466	5.4382377	4.5798235	21.407852	-5.0617237	-2.7311997	1.5079606	6.4687204	-12.097306	-6.5209966	0.37071675	51.903921604156494
2	3.143428	3.3658798	12.011001	-5.425865	223.56995	87.24072	350.06863	104.967804	337.57718	131.98642	502.62982	109.35035	272.14655	90.08785	478.26416	136.37645	17.285715	442.2	692.3	521.0	7999	12.972258	11.205728	48.68291	-6.857974	12.972329	11.205604	48.6088	-6.2070436	-0.6476644	2.4709196	11.752171	-16.40457	-15.212484	0.8251914	141.60867857933044
3	10.753776	40.799717	376.18835	-8.303372	89.73454	177.47916	493.48645	-0.29810664	192.24086	235.77187	626.33124	1.2206417	41.349075	114.101524	383.62964	1.9691656	32.365852	166.5	336.0	93.2	11999	29.558342	31.232042	131.95811	-8.274633	29.558056	31.231047	129.60477	-5.361941	1.4544792	3.8466794	22.203743	-14.096453	-35.166195	4.6954627	223.27356886863708
4	132.11938	111.952705	467.27362	2.8386333	258.12436	77.92758	412.0507	182.70229	218.86978	45.648254	350.80807	180.64629	197.44405	21.73131	228.6444	163.83781	249.375	422.5	357.5	313.9	15999	48.018795	40.81775	126.84365	-12.155239	48.019176	40.815964	126.913284	-9.551276	1.5505553	3.6844704	23.505526	-13.9398365	-52.617702	11.599015	310.46099615097046
5	255.43713	200.88188	637.22284	57.398327	438.3121	146.13133	592.9003	213.98598	375.50247	145.57191	594.4249	225.00668	406.48907	143.61322	611.58875	218.39224	404.1	724.4	612.8	657.9	19999	50.589115	37.311283	114.66592	-9.048335	50.58849	37.309868	115.885414	-8.166506	1.4300617	3.250688	18.108889	-15.693606	-53.840046	9.08912	413.96959614753723
6	638.4932	4.495515	641.8217	630.7497	208.684	91.95456	383.10516	99.399605	261.06894	85.87089	418.59018	95.388084	311.57916	73.089554	404.35022	212.49605	1000.0	337.4	421.1	478.2	23999	54.1775	33.46669	109.78528	-8.58369	54.17634	33.467396	109.555534	-8.294692	1.5192426	3.0679102	21.524248	-13.966791	-56.85414	7.934424	502.8408958911896
7	512.2504	214.32695	681.38336	129.9089	279.30597	188.55235	609.9594	69.59904	376.6753	206.89641	643.482	119.59004	449.40253	146.60391	593.5423	134.3669	764.2	461.9	614.9	762.3	27999	55.05468	29.35713	100.88394	-7.942972	55.05396	29.35686	101.063995	-8.3136215	0.83304155	2.8288205	20.0564	-13.215822	-57.05778	5.6476855	599.3946633338928
8	452.12393	216.5976	668.2923	171.46881	164.33693	61.393314	281.6975	75.28219	241.7277	135.54504	452.07846	76.70093	168.91284	59.60829	272.56616	66.55701	683.3333	281.1	430.9	282.6	31999	55.86327	27.117489	94.91053	-9.086318	55.862404	27.117472	95.89017	-8.166164	0.39571884	2.7729714	17.738483	-14.795467	-57.49127	4.190699	685.5168814659119
9	518.92175	205.89427	640.88153	162.32425	198.6444	27.516062	251.52597	158.69156	332.07556	165.2602	575.9118	176.87631	181.26616	52.52283	269.92093	91.53292	829.25	338.1	598.1	319.1	35999	57.79785	25.700062	92.26379	-6.4281244	57.79763	25.698744	92.16221	-7.2206287	0.036953766	2.7059946	18.420298	-12.846283	-59.281616	4.029634	778.5366172790527
10	592.39325	101.584816	678.20074	401.04727	369.3879	108.03536	524.9538	254.4951	516.2009	200.78743	716.31146	213.80812	312.47287	79.86313	482.92743	228.53426	928.0	523.4	730.6	438.3	39999	60.09399	24.783459	90.64072	-7.600799	60.09374	24.782	90.71221	-6.5752673	-0.23769592	2.7144384	21.673544	-12.926468	-61.45834	3.5618417	874.3643476963043
11	447.38348	173.96222	649.47797	193.73149	398.2057	124.58739	553.40125	248.7456	459.90186	161.52745	613.7333	250.53888	334.60706	99.043205	534.5988	255.77518	726.8	583.3	724.3	494.8	43999	62.79641	24.282982	91.54275	-7.2804875	62.796307	24.281038	91.640335	-7.216193	-0.37814793	2.6830478	19.629763	-13.798055	-64.09008	4.142599	972.2084350585938
12	624.96405	50.472103	670.48285	548.462	403.61328	87.05912	520.7435	196.7123	439.88275	152.56317	669.6036	234.32542	429.22272	104.842094	539.96704	181.47243	988.75	652.4	716.0	669.1	47999	65.57617	23.95164	92.61692	-7.5891075	65.57614	23.950548	92.80334	-6.5299854	-0.6142734	2.69453	20.170073	-12.88331	-66.83972	3.392515	1073.5925981998444
13	634.9601	42.765717	677.6478	576.8164	351.768	44.163673	395.08643	238.17236	374.94867	112.16154	695.3875	268.40317	361.9323	69.95988	483.66733	257.36673	1000.0	549.8	594.0	541.4	51999	68.39445	23.90329	93.82878	-7.642582	68.39427	23.90277	93.856155	-8.329668	-0.7772266	2.6990917	19.038704	-14.168562	-69.62486	3.4482477	1169.4783203601837
14	686.696	34.608707	723.4403	635.4087	411.53256	32.75473	468.64487	365.23663	507.34918	88.77637	610.5621	299.29465	454.9142	59.449863	529.7323	332.01102	1000.0	629.4	822.5	735.3	55999	71.2449	23.642353	95.61816	-8.386756	71.24456	23.64223	96.15763	-9.384418	-0.8589182	2.7260242	20.516224	-15.707149	-72.44028	3.1583683	1271.1305983066559
