Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTransferEpRet	StdTransferEpRet	MaxTransferEpRet	MinTransferEpRet	AverageRandomEpRet	StdRandomEpRet	MaxRandomEpRet	MinRandomEpRet	AverageAdvEpRet	StdAdvEpRet	MaxAdvEpRet	MinAdvEpRet	EpLen	TestEpLen	TransferEpLen	RandomEpLen	AdvEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-31.517193	7.815	-11.247993	-58.6668	1785.0846	78.62833	1916.8042	1711.5953	42.88455	14.046834	60.52409	14.576136	1806.8519	69.86424	1896.7288	1694.6256	1755.2949	80.68068	1917.3501	1614.8441	19.699507	1000.0	47.1	1000.0	1000.0	3999	6.5512733	6.243222	28.351421	-11.378388	6.5513506	6.2429075	28.915678	-12.073514	-7.2428174	2.9975362	12.037068	-21.820372	-10.026611	1.2782178	96.19191384315491
2	-30.731104	10.350559	75.342896	-50.9032	1641.905	61.0309	1729.4093	1519.5607	15.06709	11.448146	33.999138	-6.6706295	1631.0793	128.19131	1791.3002	1392.1862	1662.6511	90.34476	1820.6029	1525.645	19.635468	1000.0	31.6	1000.0	1000.0	7999	30.040773	20.43118	106.51144	-26.175516	30.041075	20.429829	106.039154	-19.827734	-0.23000006	5.2783065	27.494951	-20.75819	-36.973164	4.42893	199.817462682724
3	-22.847984	16.470318	17.247889	-64.03155	1672.4558	115.896126	1827.6226	1492.0496	-20.56195	5.7937107	-5.8428383	-29.037115	1622.32	75.85459	1801.3324	1492.8593	1629.3336	59.753807	1718.4249	1507.7872	24.801243	1000.0	26.5	1000.0	1000.0	11999	79.82893	51.37156	220.78937	-38.55184	79.82938	51.370457	214.02754	-39.815918	6.207351	5.47758	41.35009	-17.52755	-91.667206	27.906572	301.85682797431946
4	-13.706908	20.338333	37.696915	-154.21152	1688.0778	75.705	1778.3322	1560.3195	-17.367916	12.615967	4.572421	-30.830381	1629.3151	50.16834	1696.7253	1582.4833	1684.0938	56.533394	1778.8988	1556.727	34.05983	1000.0	41.8	1000.0	1000.0	15999	123.77299	152.13588	1761.5719	-42.029892	123.7771	152.12608	1716.7675	-41.21783	7.4720607	7.708456	155.42174	-17.514406	-137.12508	333.41965	405.91160678863525
5	-19.841734	23.299631	41.145077	-137.95326	1754.759	74.75242	1890.241	1663.7026	-2.7038445	29.610603	36.054768	-64.25213	1703.6566	63.798813	1858.9178	1656.0911	1726.1223	92.32549	1856.1544	1566.0002	46.872093	1000.0	70.2	1000.0	1000.0	19999	130.48404	177.31981	1837.4683	-46.43274	130.48108	177.3206	1836.378	-55.317207	8.564074	7.2447543	71.30708	-20.512848	-142.12604	189.09846	510.7509276866913
6	-30.747133	21.453396	7.2011447	-91.76849	1736.7555	80.29082	1881.7173	1586.7845	-23.910845	9.655358	-10.498685	-42.4763	1655.9949	62.442364	1748.8823	1533.7784	1676.1731	81.21411	1787.8363	1496.8438	36.614677	1000.0	50.3	1000.0	1000.0	23999	130.41661	200.5035	2229.058	-48.632515	130.41678	200.49327	2218.0293	-58.762383	8.608849	7.089717	82.54413	-20.314972	-140.9704	244.74811	615.7712163925171
7	-71.70321	301.0303	24.347044	-2654.3638	1709.7047	69.022415	1779.8229	1570.5554	-20.90441	10.807474	4.427799	-31.811394	1703.1621	86.38449	1876.5271	1546.5623	1660.013	31.787535	1679.6565	1565.5022	53.226665	1000.0	51.0	1000.0	1000.0	27999	136.52844	246.82394	2364.6997	-84.75861	136.52559	246.82384	2390.5063	-96.622635	9.064886	7.168874	114.73874	-18.23933	-146.3286	345.16324	719.7698929309845
8	-37.98032	176.67976	37.45328	-1649.7778	1649.3031	92.205505	1777.6472	1532.6641	12.8309355	15.708602	36.0185	-13.071556	1638.2039	63.74072	1788.8195	1592.9404	1758.7949	85.67697	1875.6113	1638.7156	46.682354	1000.0	67.3	1000.0	1000.0	31999	156.60959	290.49677	2404.4175	-120.54215	156.60895	290.49292	2422.376	-133.03067	10.11743	7.516813	140.95825	-18.064865	-167.34897	491.7702	823.7668030261993
9	-24.882248	26.035912	62.53762	-89.96263	1654.9863	69.23926	1815.3215	1594.5255	-27.381475	40.67689	36.303944	-85.24566	1629.9781	68.40087	1784.5789	1564.083	1636.0377	82.29754	1715.6533	1500.8026	46.895348	1000.0	62.7	1000.0	1000.0	35999	153.90018	275.5673	2506.05	-125.55199	153.90303	275.5662	2466.3418	-139.80707	10.276391	7.4782157	258.83954	-16.886822	-163.08868	426.093	928.402845621109
10	-32.852924	21.113314	22.526829	-108.08479	1720.4033	91.30138	1892.448	1570.8129	0.05281645	17.968819	48.585087	-21.75401	1646.4867	55.86247	1742.515	1535.4441	1741.1051	77.37682	1902.917	1660.5527	56.585712	1000.0	60.7	1000.0	1000.0	39999	153.9882	316.01813	2503.7856	-140.55606	153.99445	316.0151	2478.2517	-160.09213	9.839259	7.8401313	235.35776	-18.937147	-162.32852	615.51904	1033.387253522873
11	-19.667555	18.122946	28.513435	-77.71608	1700.5916	93.8954	1894.5632	1586.7039	-25.211605	9.43571	-12.174066	-42.921936	1598.596	65.91231	1736.6766	1516.3367	1759.5574	64.804214	1900.1835	1692.2039	48.08434	1000.0	42.9	1000.0	1000.0	43999	143.79178	316.94833	2529.08	-77.35362	143.78139	316.95236	2507.2446	-73.73858	9.832263	7.9809694	241.71942	-17.63042	-151.88916	597.5044	1138.5268938541412
12	-89.669785	519.76044	32.562077	-4369.7593	1678.5022	72.61075	1851.0029	1562.1406	3.155943	20.364504	46.859062	-26.88912	1555.7762	61.24953	1649.2079	1432.6443	1711.8896	52.145447	1777.7291	1651.2893	58.086956	1000.0	47.8	1000.0	1000.0	47999	149.77547	346.43396	2577.076	-94.37135	149.76537	346.43066	2609.6985	-99.63233	9.650035	8.007288	152.61565	-20.34202	-157.1323	780.8974	1243.8455028533936
13	-17.094313	29.007162	95.340324	-63.272274	1714.157	93.769714	1844.4209	1510.5352	-16.750507	11.557816	4.1045456	-35.495083	1628.5192	69.7528	1763.2461	1544.0326	1683.0739	77.83332	1785.4224	1507.371	62.43077	1000.0	55.0	1000.0	1000.0	51999	147.06554	330.44373	2580.3882	-81.593155	147.05618	330.42267	2630.5442	-99.51842	9.8443575	8.155921	218.99886	-18.792656	-154.32207	751.4949	1348.2802333831787
14	-22.849047	28.485561	19.195976	-238.0074	1720.0369	115.21568	1889.0201	1463.7273	1.5658085	13.242117	14.59482	-26.718899	1699.5999	68.020164	1841.5895	1627.331	1668.6458	28.50647	1684.1077	1584.1208	34.582607	1000.0	27.0	1000.0	1000.0	55999	143.49959	328.75735	2727.549	-101.59155	143.49683	328.7327	2839.2854	-154.64363	9.565789	8.392569	190.89862	-23.698755	-150.94685	672.9787	1451.8150522708893
15	-17.32973	24.05064	60.10767	-65.15038	1788.9084	61.158314	1912.625	1705.187	-22.706974	10.311161	-10.412003	-42.98188	1605.1227	83.31383	1775.6011	1447.2489	1792.1318	75.799805	1918.9622	1688.3994	53.48	1000.0	45.8	1000.0	1000.0	59999	139.11876	337.24213	3116.4065	-105.72696	139.1116	337.2256	2921.0596	-140.02106	9.19651	8.548338	188.36069	-19.34674	-146.03525	622.4345	1555.6635100841522
16	-86.38963	435.9224	32.031593	-3703.1838	1679.8141	100.862114	1835.8691	1526.9827	-10.876457	15.356803	13.801197	-29.090107	1571.8241	54.82026	1661.0293	1454.4197	1674.6375	51.964573	1747.5665	1626.1405	57.157143	1000.0	41.0	1000.0	1000.0	63999	129.67493	346.48047	2993.7563	-110.169266	129.66576	346.46613	2941.292	-152.77599	8.156463	8.662483	153.09338	-20.419954	-135.58406	673.1499	1660.6955862045288
17	8.835148	282.60965	2349.4602	-88.221306	1799.9342	49.15299	1857.3022	1745.6353	-2.1638062	14.1046	19.575577	-28.975283	1601.6993	60.98774	1724.1053	1528.9978	1778.7526	76.88904	1937.7319	1646.949	57.028572	1000.0	45.2	1000.0	1000.0	67999	121.5323	354.88885	2938.4744	-106.71717	121.50755	354.86737	2897.1758	-126.2215	7.4169073	9.010453	205.84808	-21.164154	-126.97537	771.74866	1765.1886730194092
