Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTransferEpRet	StdTransferEpRet	MaxTransferEpRet	MinTransferEpRet	AverageRandomEpRet	StdRandomEpRet	MaxRandomEpRet	MinRandomEpRet	EpLen	TestEpLen	TransferEpLen	RandomEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	2.8509424	4.0850706	17.512888	-14.577946	13.959102	2.8442082	17.691217	10.410961	14.952124	2.2361186	18.533834	11.7752285	13.257408	1.5124913	17.001324	10.858138	17.869955	21.2	21.8	21.2	3999	5.7491555	4.7297664	23.064886	-6.729415	5.74949	4.730011	22.496967	-6.539974	-2.5662248	1.5912548	8.319025	-14.122062	-6.898047	0.4207251	47.05708408355713
2	3.3734376	3.221403	12.2242985	-7.508611	52.85374	22.803963	108.940384	36.685085	86.675255	72.204025	286.95294	35.07622	74.36134	34.993153	128.15488	32.734306	17.660793	93.1	193.5	164.7	7999	16.257961	14.833233	75.96065	-8.233195	16.25826	14.833958	74.755684	-7.5963163	0.2765492	2.914024	18.633682	-13.053541	-19.299711	1.5466787	107.23325538635254
3	9.483656	19.6719	95.75405	-13.833739	43.932156	14.5619955	66.10803	22.630161	161.36621	212.15517	605.6758	21.97236	44.3043	13.029731	68.12308	25.047699	27.390411	70.0	269.0	75.8	11999	50.24225	57.992184	235.32997	-14.850487	50.24284	57.991512	238.50757	-13.655076	3.3832633	4.873876	29.223675	-14.629875	-60.94434	26.337881	169.96767401695251
4	27.591038	96.35888	580.23395	-6.14711	321.5465	104.54186	515.1454	167.90118	351.1393	139.53651	565.7843	158.39172	283.4525	135.27852	564.86523	136.54315	74.63043	545.4	606.3	476.7	15999	85.40039	73.03885	232.34225	-57.98932	85.40013	73.036194	231.16661	-53.484543	3.7216113	4.305714	29.191923	-13.350199	-93.88789	67.19037	247.6224250793457
5	242.33817	142.36293	518.4187	90.89452	196.6727	30.226793	254.76088	156.4021	211.72168	39.135777	276.25656	147.50288	226.81152	45.29032	313.1746	152.4222	391.6	301.0	317.5	374.5	19999	96.51598	68.47238	212.84505	-54.26284	96.51787	68.47459	206.67468	-53.395058	4.153728	4.2157364	27.729218	-12.603028	-103.225685	27.462347	320.9107828140259
6	560.07874	100.44132	678.7834	408.16098	368.28165	177.16771	587.48413	199.81657	423.07977	196.82904	587.11707	80.463104	408.226	173.79158	584.64874	200.49634	925.25	624.0	732.8	696.1	23999	103.67637	63.107845	197.61272	-40.229343	103.67647	63.109535	200.40114	-38.209286	3.548472	3.8288937	29.054008	-13.580954	-109.15591	21.559765	407.2407121658325
7	470.5836	134.8441	651.8308	293.07074	555.0911	70.98815	593.00116	367.61975	579.70197	22.702896	604.808	517.8244	418.30167	109.10129	588.8165	225.88635	758.0	942.1	983.8	707.1	27999	103.32367	54.949272	182.45467	-41.28046	103.32297	54.950596	183.25768	-35.41979	2.835687	3.6145146	35.10794	-12.917414	-107.4549	15.188596	498.1410093307495
8	492.0332	165.9791	608.1546	165.62863	460.5538	153.95692	668.75055	172.70793	422.97324	123.369484	684.1736	289.2575	451.53107	172.75952	666.0149	195.88434	830.8	709.5	654.8	681.5	31999	99.33313	47.287743	165.89766	-30.950773	99.3322	47.28966	166.96649	-36.510406	2.5005438	3.4167588	30.786919	-17.017897	-102.487236	12.590965	581.2878625392914
9	440.4629	174.67052	584.9561	115.9154	352.27502	177.69673	660.6568	127.229744	543.76807	143.01534	658.6604	261.80054	338.14398	197.80519	654.2637	97.86387	764.4	544.0	861.4	523.7	35999	95.9345	41.991123	148.81943	-25.317692	95.93376	41.9916	148.75302	-28.106045	1.8101857	3.2944994	24.010302	-13.006422	-98.43854	10.240879	663.9312105178833
10	338.8331	190.3932	619.0717	118.39678	180.15631	61.245045	325.91324	110.18116	172.69302	50.452168	262.87344	122.37734	168.47025	34.82929	232.18134	131.32202	533.8571	268.6	262.7	238.2	39999	91.63638	37.592598	140.11229	-25.168732	91.63652	37.591957	140.33064	-26.587545	1.0294915	3.3277109	27.698566	-14.006123	-93.65865	9.685845	730.3299531936646
