Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTransferEpRet	StdTransferEpRet	MaxTransferEpRet	MinTransferEpRet	AverageRandomEpRet	StdRandomEpRet	MaxRandomEpRet	MinRandomEpRet	EpLen	TestEpLen	TransferEpLen	RandomEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	509.50638	7.2474794	519.66046	501.36343	181.04042	229.07535	582.88983	8.078952	268.50717	218.48393	602.0567	10.72676	89.46605	91.94082	345.2849	9.63769	1000.0	324.3	509.8	176.0	3999	11.837513	5.97966	23.74731	0.006341342	11.837061	5.9804606	23.609932	-0.09454626	-5.3732324	0.5429774	1.968893	-11.477622	-12.921279	0.06448503	65.79102373123169
2	297.16074	182.37396	508.4568	36.06617	352.78534	66.91763	442.2766	243.87083	347.00592	71.59139	421.09946	201.02655	326.8314	76.42676	413.8652	224.14665	630.1667	1000.0	1000.0	1000.0	7999	34.56784	6.947869	55.000954	18.388983	34.567726	6.9483957	54.686058	17.95075	-5.248705	0.829563	10.439333	-12.2764845	-35.642456	0.823707	176.78137159347534
3	473.46344	31.436457	505.34177	423.4486	508.71808	36.80668	566.25183	466.53333	467.21176	64.02098	555.908	330.39685	518.45636	32.755108	559.6008	457.17368	1000.0	1000.0	1000.0	1000.0	11999	56.323204	6.517462	114.345505	39.368908	56.323105	6.5197897	118.05499	38.565468	-5.043461	1.2720299	15.520304	-12.468618	-57.39829	1.9320992	288.344172000885
4	240.69804	212.7895	524.47217	3.9428499	341.67227	64.30243	481.76038	288.3433	338.97382	98.70959	577.0494	269.99704	328.45557	42.080498	434.7656	290.81262	497.42856	1000.0	1000.0	1000.0	15999	75.09102	7.6319757	101.11294	49.98588	75.09084	7.635067	101.29528	47.28117	-4.888814	1.3760693	12.640727	-13.050812	-76.09199	4.0259614	401.34460163116455
5	98.30087	155.79489	474.7986	1.0431429	524.9636	101.543434	696.7895	376.93765	487.14545	115.61953	666.62366	322.5137	472.7661	129.17468	574.4013	127.31034	238.38889	978.9	1000.0	903.0	19999	87.83445	6.836255	123.718994	6.8846645	87.8346	6.8408427	123.800446	4.55743	-3.9661202	2.3835447	29.223465	-14.145176	-88.89948	14.590916	509.3133656978607
6	360.80304	172.55403	491.60556	30.495846	284.4892	145.01018	642.7612	168.0565	399.92938	134.42995	670.0625	250.60765	329.36295	151.08354	665.72784	172.56192	816.6	947.5	1000.0	1000.0	23999	99.9162	9.282857	151.36304	-0.4993163	99.9153	9.289232	149.74454	-2.3622913	-2.3751094	3.2834754	29.206734	-14.042989	-101.171394	16.180872	619.4235479831696
7	403.98187	46.34561	453.66525	348.93335	600.3861	102.59368	762.2382	434.52026	530.0348	164.85732	776.1461	307.62735	610.45636	133.29199	763.1928	307.28613	1000.0	1000.0	952.6	1000.0	27999	110.3658	10.782231	165.28185	-2.320799	110.36566	10.798892	179.16927	-7.608181	-2.0773296	3.402835	31.591854	-16.180027	-111.56336	16.132103	731.2041249275208
8	483.40616	8.54622	493.12378	473.11307	377.7458	18.009432	414.9035	350.38605	476.40836	123.663445	671.4523	324.06992	498.90112	113.976524	668.09937	363.66592	1000.0	1000.0	1000.0	1000.0	31999	116.78975	11.41423	189.53584	-7.3515735	116.7898	11.430607	190.77444	-14.956339	-2.5976515	3.3676763	27.339952	-15.268339	-117.83537	13.722343	845.8871405124664
9	331.6101	144.25659	493.02258	97.17792	487.22183	131.21468	632.7481	176.39578	494.2	123.71163	732.55316	293.1072	497.66656	144.25069	668.85126	222.01613	839.8	885.4	1000.0	933.0	35999	120.99346	11.776058	179.40683	-17.639055	120.99459	11.787285	182.21765	-29.45731	-3.1221128	3.1137066	27.344318	-13.267109	-121.931496	11.51765	957.3614902496338
10	416.2076	130.352	563.47986	230.31454	409.62164	140.88023	680.2269	164.72195	339.36237	101.44117	495.18826	97.39525	304.76865	137.27853	483.21408	74.79867	856.25	950.5	919.2	818.0	39999	123.71769	10.816349	177.5686	-44.174217	123.71805	10.826679	179.92337	-46.052963	-3.5053666	2.8585417	23.465555	-13.734989	-124.595604	10.502797	1065.7480747699738
