Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTransferEpRet	StdTransferEpRet	MaxTransferEpRet	MinTransferEpRet	AverageRandomEpRet	StdRandomEpRet	MaxRandomEpRet	MinRandomEpRet	EpLen	TestEpLen	TransferEpLen	RandomEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	2.8476412	3.224981	12.811079	-6.112469	13.805521	2.2420032	19.220375	11.080757	12.061326	3.2709188	17.802986	7.2042427	14.560411	2.7059612	18.488106	7.750009	17.334784	20.8	19.0	20.8	3999	5.9516187	4.939981	23.567165	-5.6600914	5.9513974	4.9408283	23.989964	-5.332689	-2.3482368	1.7525682	7.792743	-13.902678	-7.193004	0.46212426	47.556814432144165
2	3.0005891	3.4078672	12.96195	-11.052136	11.87586	0.9123752	13.042267	10.40109	11.227524	1.5301279	13.617619	9.217405	11.6262865	0.799768	12.919885	10.462358	16.932203	23.1	22.7	23.3	7999	16.932875	14.786444	65.30573	-9.817707	16.933006	14.787275	64.91441	-7.526094	0.46242648	2.748565	11.655723	-12.563137	-20.002903	1.611672	105.81219267845154
3	9.94906	32.662403	211.97522	-11.777748	4.2328553	1.1311791	5.903615	2.4523926	77.11272	146.33142	402.09763	3.1012793	35.709732	95.414665	321.94244	2.3437808	30.149607	27.1	139.0	74.7	11999	31.53701	33.63767	138.34178	-10.517336	31.538145	33.63791	132.94218	-10.935147	1.7679483	3.8854895	23.048588	-15.696568	-37.502827	7.3144484	170.88494563102722
4	185.0503	172.99193	500.82196	20.778854	516.6005	257.61035	653.4302	-0.06597962	513.15906	251.88171	651.50055	2.6440997	391.4598	307.73856	652.0814	0.20410976	318.5	808.8	811.4	625.6	15999	48.630196	43.270638	138.93893	-10.173006	48.630386	43.27172	130.28665	-8.582866	1.7295306	3.7091756	20.021358	-16.286243	-53.242283	15.137561	260.2252721786499
5	276.90042	247.05095	644.8786	-7.9125624	411.3659	182.89397	580.5367	117.33972	411.861	138.13934	675.5993	239.79329	425.82544	121.74592	670.7072	331.16168	467.44446	677.3	635.6	657.1	19999	56.02138	42.55164	125.950516	-14.1593685	56.021515	42.551506	126.40477	-15.27465	1.7037319	3.4925768	24.716309	-13.947248	-59.55863	11.363269	351.00629901885986
6	586.3062	3.999155	590.97925	580.206	463.127	84.97624	673.57007	309.71457	474.67172	115.0766	664.4412	276.0243	438.90146	120.67083	687.0327	248.85959	1000.0	680.7	706.6	645.8	23999	60.157555	39.491203	122.53438	-9.205557	60.15687	39.491875	121.38159	-8.927383	0.9565294	3.3303096	20.316872	-13.811262	-62.79789	7.2133164	439.8065974712372
7	527.01355	93.790665	599.35236	366.78802	302.19174	112.59715	568.8599	107.67152	358.74524	170.1982	575.5712	70.05786	306.5245	189.27892	570.8517	81.081024	908.25	582.4	686.6	576.2	27999	62.482086	35.921932	114.97807	-8.257318	62.48179	35.923016	114.06861	-7.433794	0.37625933	3.1764865	19.72141	-13.831835	-64.595634	5.7237883	527.5677647590637
8	588.8384	19.575724	616.546	563.2762	226.10649	94.73312	372.26547	99.23371	294.3159	175.92778	587.31665	70.6624	268.36957	91.79613	377.9849	127.70266	1000.0	402.9	513.1	468.6	31999	64.26769	33.24443	107.789986	-7.984331	64.26741	33.24487	107.31436	-7.3688226	-0.099181086	2.9754667	18.984692	-13.5660715	-66.061844	4.532916	606.2769296169281
9	459.97754	203.86069	628.04895	178.94429	255.45244	36.593864	312.5993	208.35826	267.08954	74.24535	426.6963	171.2954	241.26587	42.696953	311.0821	198.13977	747.8	427.1	477.7	405.5	35999	66.5234	31.489468	102.23737	-7.466833	66.523346	31.489193	101.751434	-6.8972464	-0.38260418	2.9324594	19.730259	-14.048171	-68.121284	4.2233562	683.4861907958984
10	577.83685	92.14464	650.72	396.39075	241.90042	85.7073	351.11505	30.655865	325.1334	101.3995	588.3213	210.56726	256.19855	95.83092	380.8336	85.92223	942.6	440.5	587.7	466.2	39999	68.46599	30.367756	99.19055	-7.6669517	68.46568	30.36775	98.68194	-6.892917	-0.63080865	2.8282888	17.314116	-12.9670725	-69.91633	3.7964268	764.9694652557373
11	546.8634	129.77344	639.7993	324.88763	445.45184	64.413765	590.12286	388.04172	581.40875	44.09642	685.1169	503.3435	525.2528	72.78528	599.6668	386.49054	905.75	765.9	989.2	917.0	43999	70.82015	29.672987	98.48747	-7.6625257	70.82044	29.671885	98.97249	-8.3181715	-0.8148036	2.7981076	17.84055	-14.399335	-72.190186	4.102575	863.0821912288666
12	629.6066	20.513906	646.9158	594.6525	492.55673	111.87112	627.9874	279.6089	412.0206	164.84285	694.0621	239.83345	460.95294	167.70537	616.49414	190.20831	1000.0	854.5	665.9	764.9	47999	73.75827	28.89803	99.43626	-9.696218	73.758354	28.896852	99.56638	-10.582522	-1.0370641	2.746601	17.03744	-13.204135	-75.074745	3.6055672	955.7883937358856
13	626.0584	22.160316	645.2234	588.32623	548.5951	129.0941	696.25726	198.20943	551.9281	110.82844	694.9925	263.85327	529.46277	121.95774	692.9977	187.30214	1000.0	931.1	943.3	929.6	51999	76.71803	28.620806	101.38575	-19.52155	76.71809	28.61962	101.58197	-29.50944	-1.1969472	2.7280154	20.795835	-15.280012	-77.994736	3.3576615	1051.9981846809387
14	648.5237	14.09809	664.5873	630.0057	410.0152	224.23618	695.319	136.11214	365.30466	194.57521	694.90247	154.86464	428.48413	181.6836	692.6307	210.4394	1000.0	635.5	604.9	641.3	55999	79.97922	28.298456	104.72334	-9.887263	79.97932	28.296856	104.427795	-15.155251	-1.3708097	2.6753674	20.363241	-13.429995	-81.24392	3.6550634	1136.1397829055786
15	618.56024	16.660099	646.70184	603.2673	408.82635	144.97615	685.491	208.67126	451.14642	189.9281	692.80347	171.58487	361.31564	148.42485	596.1858	179.98216	1000.0	586.7	696.3	549.2	59999	83.07868	28.125921	107.62173	-19.006727	83.07885	28.12486	106.995834	-19.245075	-1.3784415	2.639636	22.370703	-14.13829	-84.322876	3.6284618	1220.9060525894165
16	630.6514	14.7613945	644.2339	608.7067	234.09482	52.47854	304.239	142.86452	362.8931	182.44424	635.6181	118.36787	258.21576	124.181786	567.938	137.82312	1000.0	353.8	562.5	384.5	63999	85.83732	28.053556	109.766266	-13.662764	85.83719	28.053007	109.39873	-20.010035	-1.4406207	2.6238673	22.535595	-13.14282	-87.065254	3.3891716	1300.7022676467896
17	532.3801	181.40428	633.4944	169.89398	147.37502	68.87658	253.673	85.89628	267.03876	189.8256	608.9998	89.318756	162.89685	77.08003	290.19385	77.24087	843.6	216.5	407.0	240.9	67999	88.1351	27.972025	111.09139	-23.297062	88.13492	27.970947	110.76282	-19.166773	-1.5231397	2.602123	21.821846	-14.466644	-89.32966	3.2947779	1374.47603058815
18	632.14935	20.62981	653.0115	611.2107	340.03387	144.63995	602.26447	192.84572	344.27655	151.05136	578.69525	168.54414	369.93152	136.52116	647.83624	212.92047	1000.0	533.0	576.7	575.9	71999	90.10558	27.903013	113.61262	-19.845873	90.10557	27.90292	112.705925	-14.636295	-1.5725111	2.6102588	23.365646	-14.140057	-91.272125	3.2519968	1457.3727614879608
19	558.76154	138.49722	652.05414	319.6229	272.63077	176.76228	693.67725	110.020645	344.56494	201.37315	695.35767	112.891304	256.37994	105.4052	471.9578	124.57245	891.5	385.6	491.9	369.1	75999	91.97272	27.700834	115.10339	-54.104424	91.97285	27.698883	114.14429	-48.441982	-1.5828569	2.6055472	21.126139	-13.45928	-93.11255	3.3862085	1536.1762056350708
20	634.509	15.824114	652.2483	612.6574	223.47417	83.5321	412.16022	142.25812	386.21713	183.57301	633.16003	118.1303	300.04266	143.01073	673.83813	134.45238	1000.0	324.4	617.8	434.5	79999	93.89272	27.115828	117.18454	-27.299572	93.89311	27.11411	117.36524	-29.269512	-1.6475253	2.6300614	24.353165	-13.727882	-95.02181	2.9827929	1616.666835784912
21	629.7536	3.8497822	635.92126	625.5362	267.119	150.88478	593.14246	158.64503	500.40472	132.6016	632.11	200.09592	316.35342	155.73184	592.2079	171.74869	1000.0	416.7	843.8	525.0	83999	95.52192	26.786446	118.90973	-34.06385	95.52202	26.784767	119.21803	-45.99682	-1.7121228	2.5897872	23.717201	-15.1188	-96.63645	3.026581	1700.9493191242218
22	632.71814	10.95838	649.0761	620.63495	378.7232	207.77739	696.23865	221.09743	386.74338	194.03397	640.6754	112.6833	325.81256	193.92358	695.16705	117.039185	1000.0	577.4	619.7	525.4	87999	97.43179	26.192398	119.005455	-44.798805	97.4323	26.190472	118.47843	-67.70366	-1.7897	2.5844457	27.38676	-12.3175125	-98.53639	2.7219894	1784.8941247463226
23	527.865	228.97499	656.31836	70.28428	233.85515	126.0136	587.1105	162.86765	285.89633	135.80101	593.71216	79.665016	356.11325	138.50996	570.5996	151.75348	823.0	396.0	478.9	634.1	91999	98.91222	25.946918	120.80333	-56.11661	98.91204	25.94649	120.52073	-47.106495	-1.865779	2.5364053	25.065496	-17.236904	-99.99778	2.7879965	1867.878707408905
24	669.7272	10.454901	681.69775	653.77795	167.91531	43.643955	233.52788	119.67093	205.9971	53.980057	267.586	114.9966	191.3013	57.969635	275.2528	116.74895	1000.0	277.1	332.4	318.1	95999	100.46491	25.380676	120.52856	-83.593994	100.46528	25.378569	120.17311	-79.135124	-1.9001458	2.51409	23.866524	-13.743956	-101.52721	3.1090353	1942.0756397247314
25	646.5033	11.856493	661.34644	628.99805	347.92282	157.37297	575.4859	175.65573	307.22705	132.24014	582.0722	181.2243	338.40582	185.28838	689.35626	179.30862	1000.0	560.1	463.7	520.1	99999	101.84429	24.756433	121.110054	-30.150913	101.84433	24.754772	120.81219	-54.116257	-1.9087692	2.5094187	21.113243	-12.200729	-102.8971	2.9171538	2022.1385860443115
26	664.66583	8.482707	674.8317	653.4987	243.76083	80.90262	351.6943	117.82555	359.5658	184.39781	699.8723	165.33113	237.4565	81.19378	339.95514	111.5122	1000.0	352.1	524.5	347.8	103999	103.22429	23.643877	121.48789	-49.308388	103.22475	23.642294	121.11557	-66.5749	-1.9880219	2.5519528	27.84553	-15.146067	-104.27043	3.2948213	2099.951607942581
27	588.2875	112.931915	664.6219	393.24664	179.93105	56.158543	321.62488	129.58331	205.57693	56.19332	294.98532	137.77722	200.72327	47.645947	295.45325	131.85576	900.25	283.2	325.7	309.8	107999	104.37704	23.085604	122.25113	-55.043076	104.37742	23.083628	123.77386	-49.420914	-1.9892446	2.5360892	22.490116	-12.638527	-105.405594	3.317564	2175.3401782512665
28	632.9295	49.204994	664.68665	534.8795	307.00897	81.48768	495.88678	161.7217	405.50653	230.45541	698.01697	123.72736	252.06465	90.85685	392.11203	106.14059	964.4	449.5	614.7	358.7	111999	105.34468	22.783697	128.0545	-83.29961	105.34557	22.778822	131.05717	-61.92185	-1.9950776	2.530949	23.8688	-12.560805	-106.35003	3.3882422	2253.976223707199
29	636.7505	23.622808	666.55695	608.6119	210.54964	75.225555	395.89087	153.59076	314.85547	160.26805	632.77295	140.37543	303.29507	158.50526	693.72766	159.80067	1000.0	340.2	514.1	470.6	115999	106.21214	22.623178	133.99826	-36.431324	106.21213	22.621178	136.41685	-45.697647	-2.048588	2.5142148	23.284021	-13.662258	-107.22446	3.1724787	2332.433676958084
30	642.6472	7.9662585	655.3585	633.374	269.8792	183.659	795.0156	129.31369	375.164	215.5564	636.74756	153.63971	242.91904	109.00694	479.4433	127.61985	1000.0	373.5	568.6	363.5	119999	106.99242	22.421566	123.29105	-42.383858	106.99312	22.417864	123.97617	-58.005302	-2.0526412	2.5093355	25.365456	-12.975432	-107.98387	2.9137611	2414.4820833206177
31	326.2373	285.0226	668.618	22.372318	296.9581	33.5099	358.85983	253.11974	324.83194	138.36102	701.19653	177.39851	291.66504	72.34765	416.6545	157.61069	497.0	453.2	497.0	433.6	123999	107.39499	23.2526	124.31852	-115.686966	107.39519	23.251997	124.46558	-105.35687	-2.0856574	2.4067674	24.526129	-12.862359	-108.35232	2.7114139	2495.1340687274933
32	646.5122	19.763182	675.80566	627.18524	407.03345	111.67171	533.8319	217.71774	422.0158	170.94217	699.17114	215.04959	399.72763	119.90044	543.29724	218.66473	1000.0	691.4	699.0	682.7	127999	107.66163	23.928585	124.6697	-66.799866	107.66178	23.927628	124.06048	-55.102837	-2.1276088	2.3954928	24.700525	-12.896545	-108.62483	2.621702	2585.4163570404053
33	675.1037	12.550882	687.2051	658.2778	595.10144	161.13838	699.4092	280.23993	441.67462	179.54733	699.2323	250.54332	464.68304	184.23183	697.54224	284.16565	1000.0	900.5	723.3	754.2	131999	108.06396	23.960966	125.05406	-34.81505	108.06366	23.96171	123.77146	-28.975054	-2.2372928	2.4064534	24.064484	-13.512519	-109.01658	2.583559	2681.9414398670197
