Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTransferEpRet	StdTransferEpRet	MaxTransferEpRet	MinTransferEpRet	AverageRandomEpRet	StdRandomEpRet	MaxRandomEpRet	MinRandomEpRet	AverageAdvEpRet	StdAdvEpRet	MaxAdvEpRet	MinAdvEpRet	EpLen	TestEpLen	TransferEpLen	RandomEpLen	AdvEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
14	543.9863	75.62996	602.3336	413.9716	734.771	83.41578	867.20544	613.17584	708.26746	105.07528	884.5647	552.0009	91.19008	101.34139	334.73666	12.8834305	761.8031	102.033424	868.6222	502.86185	1000.0	1000.0	1000.0	355.2	1000.0	55999	138.77206	9.433823	171.20769	-23.218796	138.77225	9.426772	171.46751	0.13516757	-4.307182	1.8190719	18.484064	-13.258851	-139.58391	6.114243	1790.6987781524658
15	504.78406	35.127865	553.57153	460.21445	475.00714	145.35751	686.7717	287.43497	494.45102	160.66147	696.58514	287.43246	308.72647	55.916435	443.2331	242.88982	597.1733	81.188354	681.9774	432.32462	1000.0	1000.0	1000.0	1000.0	1000.0	59999	137.06178	8.960678	163.15266	-18.383411	137.06184	8.941623	163.23724	-4.1634893	-4.493476	1.6502286	21.80023	-13.210428	-137.89043	5.2137246	1923.6547284126282
16	416.46173	207.7063	596.3651	9.927317	622.56287	139.10136	797.151	364.49475	662.13104	130.95937	795.0678	424.72565	236.94498	9.884875	246.67181	208.9694	689.35803	99.276855	797.49164	486.06262	805.4	1000.0	1000.0	1000.0	1000.0	63999	136.19582	8.552085	159.44542	-31.27883	136.1961	8.537065	159.07353	-8.284045	-4.602867	1.5408098	18.802597	-15.302063	-137.03867	5.562136	2057.1381044387817
17	537.77295	20.62656	559.6833	509.53293	707.2078	42.73176	773.031	636.5625	704.7903	50.25992	782.63776	631.2378	304.7394	27.331905	333.68527	250.56044	671.0106	42.425728	754.728	618.8557	1000.0	1000.0	1000.0	1000.0	1000.0	67999	135.94893	8.114404	158.37	-44.458996	135.94894	8.092563	159.20938	-11.600868	-4.5764613	1.5691112	17.165562	-14.709232	-136.81667	5.652963	2189.855479955673
18	487.22345	125.69327	632.349	260.24756	617.3009	129.0492	801.2951	417.9558	652.4204	103.02909	807.4071	419.50598	232.5328	6.495237	237.50575	213.71713	620.2292	125.251915	732.3649	422.2099	900.2	1000.0	1000.0	1000.0	1000.0	71999	135.9793	7.6026893	156.71495	-52.936947	135.97935	7.575791	157.19084	-14.971276	-4.6048536	1.5536247	22.000175	-14.992151	-136.84476	6.03359	2323.529753446579
19	572.6565	70.691696	657.46875	466.60822	794.3389	62.40576	895.49146	705.2556	764.1544	99.86946	893.2516	616.4706	238.20065	19.673315	265.12106	192.406	752.75934	44.550377	801.1408	672.50446	1000.0	1000.0	1000.0	1000.0	1000.0	75999	135.56621	7.5167227	155.05867	-69.05107	135.56631	7.49574	154.95656	-12.250521	-4.688798	1.4402978	16.616867	-13.590217	-136.40044	5.003966	2457.2251517772675
20	533.5059	31.01036	574.2998	502.98923	620.8126	67.039154	706.7048	535.82404	681.00073	68.72594	799.584	588.09753	209.0647	31.559881	253.14796	158.32224	631.17334	63.243843	724.8233	540.27094	1000.0	1000.0	1000.0	1000.0	1000.0	79999	135.46432	7.441098	153.58803	-59.03877	135.46428	7.4106035	153.99118	-33.240395	-4.771814	1.3685058	16.878403	-14.4487705	-136.30449	3.9903612	2592.042900323868
21	579.6092	49.12233	633.9345	522.2525	617.26434	85.35148	697.5547	399.2576	658.1559	64.27075	698.55896	482.582	239.77051	3.4847255	244.57117	234.09576	599.7493	119.906235	696.82715	399.1851	1000.0	1000.0	1000.0	1000.0	1000.0	83999	135.62044	7.3525143	155.03793	-51.390926	135.62051	7.325045	154.40088	-10.350452	-4.8148074	1.3243505	17.934809	-12.994482	-136.47452	4.4814987	2725.5079069137573
22	568.879	70.23138	653.2802	482.98633	664.04504	41.0149	707.8848	608.82526	642.66516	41.762154	709.99634	606.9845	288.39053	45.68293	351.08957	241.72954	701.6404	68.2633	795.0385	610.39374	1000.0	1000.0	1000.0	1000.0	1000.0	87999	135.90736	7.294829	155.51602	-82.63047	135.90749	7.268844	154.54822	-33.745323	-4.812626	1.3221943	16.951368	-13.283021	-136.76999	4.948246	2856.047598838806
23	663.19824	32.707283	707.2719	625.80774	655.05975	73.11101	791.42255	568.9342	667.9567	59.602753	711.5124	505.9024	364.73257	40.622032	456.00604	295.69385	702.16376	65.85406	790.5553	579.86395	1000.0	1000.0	1000.0	1000.0	1000.0	91999	136.39954	7.1669464	154.35596	-98.954056	136.39975	7.1491966	154.85176	-14.892084	-4.870465	1.2628901	24.604225	-13.873768	-137.26613	3.3863318	2985.0281715393066
