Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTransferEpRet	StdTransferEpRet	MaxTransferEpRet	MinTransferEpRet	AverageRandomEpRet	StdRandomEpRet	MaxRandomEpRet	MinRandomEpRet	AverageAdvEpRet	StdAdvEpRet	MaxAdvEpRet	MinAdvEpRet	EpLen	TestEpLen	TransferEpLen	RandomEpLen	AdvEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
14	588.19037	175.82715	805.97186	400.35938	426.67847	317.7698	912.3596	206.7501	553.6495	354.9055	912.00867	181.90353	17.238628	0.84482014	18.059383	15.711061	173.6813	7.194363	188.01285	165.76097	689.0	408.9	569.7	9.7	117.2	55999	72.58148	22.18037	103.58391	-30.803032	72.581894	22.17803	103.32545	-33.668015	-0.054018	1.758747	17.518383	-10.73337	-74.04117	2.4736376	1014.1343705654144
15	683.385	204.77075	824.6541	291.37753	913.4916	3.1642275	918.44293	908.7081	913.92285	2.3562787	919.1332	910.29736	16.450153	1.1500782	17.595371	14.27126	910.2612	2.3577273	914.2239	905.41254	799.8	1000.0	1000.0	10.0	1000.0	59999	73.74703	21.869242	103.648636	-19.9947	73.74695	21.867746	103.776146	-27.53186	-0.084883	1.7320552	15.536613	-10.4361	-75.125015	2.3286803	1102.3739099502563
16	816.8637	7.827938	827.016	806.75073	773.9918	282.9664	919.35846	207.20152	635.50793	341.4723	920.16614	194.85977	15.8130245	1.0743951	17.801403	14.288173	769.1959	284.91986	913.956	191.25322	1000.0	831.4	667.3	10.2	829.3	63999	74.9724	21.428413	105.31295	-29.602703	74.97254	21.4263	104.90006	-30.20344	-0.12220897	1.7149786	18.072617	-11.147924	-76.26552	2.324688	1181.4286983013153
17	682.2182	190.13857	837.04865	375.57895	913.78406	3.1097765	918.5336	908.632	913.3229	1.9696954	917.16327	911.115	16.34027	0.6515107	17.179024	15.116986	912.41565	2.4809213	915.20703	908.30945	808.6667	1000.0	1000.0	10.0	1000.0	67999	76.054016	21.142563	105.16291	-23.377905	76.0541	21.14125	105.097244	-38.85491	-0.16541487	1.707519	17.734081	-12.233967	-77.29461	2.297984	1268.6766271591187
18	716.73566	170.58434	824.3657	421.46356	915.7039	3.0359972	920.2186	910.4147	914.4956	3.0797927	917.43866	906.6386	16.010939	1.0715485	17.418118	14.311611	915.0277	1.8115231	916.9956	912.0344	859.75	1000.0	1000.0	9.9	1000.0	71999	76.96337	20.90288	105.670204	-25.334145	76.963264	20.902203	105.9558	-46.49993	-0.18957701	1.6957177	17.524086	-10.908006	-78.13876	2.083891	1359.923499584198
19	799.1276	5.8501844	804.5488	789.2532	914.6776	2.1420784	917.2413	909.3206	913.43634	2.6007435	917.0306	907.8871	15.718567	1.2016649	17.503746	13.583192	913.3973	2.1620562	917.23883	910.38367	1000.0	1000.0	1000.0	9.6	1000.0	75999	78.01098	20.597492	106.36661	-27.98606	78.01111	20.596045	107.04674	-29.519875	-0.25370207	1.6712716	19.317928	-12.782108	-79.14464	2.3138342	1447.9849240779877
20	681.827	211.38808	813.49475	266.61563	914.9694	2.460581	920.05475	911.4162	916.6836	2.221042	920.2328	911.91376	14.907303	0.9954229	16.601477	13.403275	915.243	5.0388374	921.286	901.1117	800.8	1000.0	1000.0	9.8	1000.0	79999	78.930405	20.113054	107.25142	-26.767082	78.93053	20.111156	107.45974	-26.897139	-0.2540206	1.6511487	15.8940735	-12.714893	-80.01962	2.1761918	1539.3568396568298
21	723.9001	112.35013	820.14	558.9457	906.9777	8.11694	920.4283	897.5382	912.44714	5.31758	917.2292	898.56866	14.796399	0.96593386	16.217257	12.884872	903.86163	7.947461	916.7027	896.8174	855.8	1000.0	1000.0	9.6	1000.0	83999	79.616516	19.874979	107.57024	-35.459713	79.61648	19.874273	107.69183	-39.718945	-0.28586975	1.6365285	19.478422	-10.495998	-80.664375	2.0526066	1626.2517828941345
22	699.7064	82.27149	810.41547	603.7188	913.9095	2.1184394	917.24713	910.32794	911.7201	1.7898474	914.71326	908.7683	15.230519	1.013689	17.23122	14.228285	912.38855	2.9276533	916.959	907.34985	801.4	1000.0	1000.0	9.7	1000.0	87999	80.26369	19.678284	108.994736	-26.366785	80.26384	19.676186	108.24955	-35.875664	-0.30895665	1.6212372	21.686348	-11.39802	-81.257904	2.1129231	1721.0276894569397
23	657.16174	194.54628	815.0754	341.7272	912.94403	5.412183	917.159	901.88043	914.9972	4.8167133	919.9504	902.03033	14.10968	0.97804165	15.722222	12.859796	916.12024	2.8424664	919.77094	909.1284	767.4	1000.0	1000.0	9.7	1000.0	91999	80.882805	19.459867	108.944824	-25.843546	80.88284	19.458754	110.777695	-43.64772	-0.31872243	1.6131122	17.937748	-10.197922	-81.85296	2.065339	1808.9791316986084
24	674.1915	177.5033	883.2733	403.19168	916.4132	1.5828384	920.40186	914.16187	913.80164	4.133026	919.1394	905.4524	14.758062	0.8452291	15.742332	13.464436	915.6823	1.7893245	918.38165	912.13403	739.1667	1000.0	1000.0	5.0	1000.0	95999	81.31226	19.277298	108.82922	-31.637705	81.31237	19.276121	109.13803	-41.86448	-0.33556488	1.5921365	16.307922	-11.494691	-82.260376	2.0153904	1896.4529378414154
25	647.6235	150.48012	853.8943	452.63342	915.3255	2.2583203	918.4826	912.0907	916.58496	2.4850025	920.47046	912.65985	14.718445	0.86836076	15.758643	12.8754225	915.5179	2.1250887	918.7112	912.593	715.0	1000.0	1000.0	9.8	1000.0	99999	81.81786	19.018604	109.49409	-39.9936	81.817795	19.01733	113.812096	-42.07748	-0.34021822	1.5969427	22.374744	-12.819317	-82.7238	2.041686	1984.0607681274414
26	832.9077	37.155018	897.1947	809.4852	915.86945	5.503578	922.40125	901.03564	916.9214	2.4737148	919.9106	912.70294	13.621546	1.1755289	15.514236	11.667528	915.7161	2.2378533	920.3076	912.0044	1000.0	1000.0	1000.0	9.5	1000.0	103999	82.29012	18.741344	109.96067	-33.291996	82.29018	18.739782	110.04166	-28.086767	-0.33125734	1.5821526	19.384727	-11.037836	-83.186104	1.9559292	2071.795695066452
27	832.2507	12.428577	845.3231	812.32666	914.64685	1.6167102	917.02673	911.1067	914.5892	2.4555686	917.70807	909.2051	13.4577465	1.534155	15.360782	9.697512	912.5746	1.4976273	914.6327	909.695	1000.0	1000.0	1000.0	9.6	1000.0	107999	82.867035	18.377008	110.389915	-28.701189	82.86698	18.376442	110.59837	-41.82149	-0.3515272	1.5923214	17.184406	-11.0142565	-83.72931	1.8717604	2159.8760340213776
28	800.01324	9.390586	814.75446	788.62274	914.098	1.1625332	915.7612	912.2378	912.82715	1.8020781	915.3619	909.72076	16.224592	1.036588	16.98942	13.287254	913.0459	1.4671435	915.9769	910.88794	1000.0	1000.0	1000.0	8.0	1000.0	111999	83.574615	17.885181	111.220406	-32.32759	83.57493	17.883688	111.116325	-43.697693	-0.37337047	1.5941767	17.471828	-10.15685	-84.41064	1.8899622	2247.0870022773743
29	717.78577	234.38182	847.2851	249.59413	914.6371	2.3622866	919.6154	912.26117	913.40125	4.394151	919.4827	903.3578	15.193922	1.6776197	16.931355	11.101987	913.2902	3.7846298	919.5866	906.8458	859.0	1000.0	1000.0	7.8	1000.0	115999	84.31727	17.487019	111.12329	-22.15571	84.31714	17.488722	111.13638	-37.73034	-0.40291286	1.5846432	18.752645	-11.4717245	-85.122215	1.8130969	2334.183705806732
30	874.50586	50.815502	953.13116	813.08936	916.0618	1.6867837	918.06244	912.83527	916.61053	2.7670555	921.1951	911.5795	13.770386	1.3456788	15.81988	11.118946	916.0536	3.1180735	920.91034	910.3843	1000.0	1000.0	1000.0	9.4	1000.0	119999	84.98118	17.336243	112.43218	-31.632074	84.98088	17.335344	111.403656	-33.098354	-0.44698662	1.577139	18.254051	-10.966568	-85.781456	1.8699452	2425.931128025055
31	887.9092	33.819057	910.00146	829.50195	916.08594	2.2940285	919.7505	912.27844	916.58936	2.2712376	919.4102	913.0928	14.618345	1.4827929	16.271893	11.724556	916.7961	1.6356838	919.6409	913.72437	1000.0	1000.0	1000.0	9.8	1000.0	123999	85.58722	17.278072	111.42916	-34.726685	85.58702	17.277025	111.69324	-37.963524	-0.50659037	1.5528983	16.950169	-10.884945	-86.379295	1.7456045	2514.677161216736
32	936.35284	14.984696	958.121	919.3264	918.5532	3.4505713	923.3871	913.5466	918.3382	2.141773	922.08093	913.7952	15.85067	0.79213256	16.95041	14.342194	918.28955	2.4738379	922.2576	914.12634	1000.0	1000.0	1000.0	5.9	1000.0	127999	86.26907	17.08592	111.639046	-26.819681	86.26909	17.085886	111.50472	-56.479164	-0.5166733	1.5496142	16.862	-10.178691	-87.03405	1.5611179	2604.282991886139
33	976.1085	22.12667	1011.2154	953.85175	913.90283	2.3567145	917.7937	910.34326	914.79706	2.1984448	918.26544	911.79156	14.9555025	1.2172757	16.814037	13.179178	915.9247	2.3277056	919.3072	913.03656	1000.0	1000.0	1000.0	5.7	1000.0	131999	87.01541	16.872078	111.79665	-33.505726	87.01558	16.869526	112.28261	-37.628723	-0.5558268	1.5409905	16.07814	-10.75282	-87.77541	1.6109514	2690.4873542785645
