AverageTransfer1EpRet	StdTransfer1EpRet	MaxTransfer1EpRet	MinTransfer1EpRet	AverageTransfer3EpRet	StdTransfer3EpRet	MaxTransfer3EpRet	MinTransfer3EpRet	AverageTransfer5EpRet	StdTransfer5EpRet	MaxTransfer5EpRet	MinTransfer5EpRet	AverageTransfer7EpRet	StdTransfer7EpRet	MaxTransfer7EpRet	MinTransfer7EpRet	AverageRandom1EpRet	StdRandom1EpRet	MaxRandom1EpRet	MinRandom1EpRet	AverageRandom3EpRet	StdRandom3EpRet	MaxRandom3EpRet	MinRandom3EpRet	AverageRandom5EpRet	StdRandom5EpRet	MaxRandom5EpRet	MinRandom5EpRet	AverageRandom7EpRet	StdRandom7EpRet	MaxRandom7EpRet	MinRandom7EpRet	Transfer1EpLen	Transfer3EpLen	Transfer5EpLen	Transfer7EpLen	Random1EpLen	Random3EpLen	Random5EpLen	Random7EpLen	Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	AverageStateGradNorm	StdStateGradNorm	MaxStateGradNorm	MinStateGradNorm	AverageActionGradNorm	StdActionGradNorm	MaxActionGradNorm	MinActionGradNorm	Time
54.229122	4.087436	59.977287	50.826225	53.20418	2.6804953	56.77861	50.323727	57.81399	0.46113956	58.400913	57.274326	52.083714	6.2828593	60.816998	46.299747	59.105038	0.5685251	59.876358	58.52283	58.60362	4.400857	63.694862	52.95788	57.20146	2.0045295	59.970383	55.290676	52.944134	3.4596958	55.44745	48.051826	38.333332	37.0	40.0	48.666668	42.0	42.333332	41.0	40.0	1	20.002062	3.2012947	35.293533	12.292916	11.681287	3999	9.95525	6.645846	26.906422	-3.26669	10.4546795	6.6474714	27.479836	-2.6590106	-0.49060896	1.2729173	3.8835266	-10.395777	-11.121292	0.9232929	0.146889	0.053626686	0.2225115	0.0008017065	0.017947331	0.0032059113	0.02520348	0.00033487333	49.29792547225952
48.185574	3.1834068	51.050453	43.745564	50.092487	2.3337126	53.303555	47.82656	54.542973	6.1796618	62.243248	47.1135	41.966686	12.355539	51.802498	24.541517	48.991898	1.5351415	51.121567	47.56187	52.024982	5.770404	59.573936	45.566048	51.16667	5.4114943	58.366566	45.32005	46.225952	3.7698085	51.332096	42.34523	40.666668	43.0	45.333332	30.666666	41.0	44.0	44.0	42.333332	2	20.09954	3.190802	36.89795	11.944989	12.2515335	7999	17.898556	10.359441	46.745403	-5.069108	18.39861	10.359817	46.767494	-3.403642	0.12435178	1.5929894	9.430674	-11.895593	-19.762005	0.7742624	0.28821477	0.043731555	0.38387755	0.20840429	0.027726557	0.005067872	0.043984573	0.016154962	109.79887080192566
68.45718	2.8757935	71.41242	64.55981	70.85595	2.3079162	73.39014	67.807526	59.041264	4.04588	64.64267	55.22967	66.896675	4.55429	71.55592	60.71596	69.499664	1.3083683	71.33321	68.36768	64.06232	2.197806	67.050644	61.827915	62.544506	6.647352	71.22223	55.074547	60.89024	2.9562924	64.98951	58.128933	45.0	47.666668	43.333332	47.333332	46.333332	43.0	44.0	47.666668	3	22.58525	7.6967173	62.41394	2.9369097	18.359447	11999	29.684984	16.610987	85.7022	-5.4898324	30.184837	16.615112	87.64206	-4.3315682	1.0208117	2.0119011	12.324299	-13.603291	-33.003586	5.46049	0.4612134	0.078484975	0.6883459	0.33648333	0.045771427	0.007640741	0.07637168	0.028612208	172.07005429267883
165.21318	20.634394	194.24464	148.1386	417.98044	352.1336	914.85974	140.72528	165.55147	63.766598	254.23404	107.03905	363.92868	393.8817	918.56055	41.870594	157.40558	4.30272	162.61469	152.07724	140.6841	8.56967	152.09665	131.44594	128.9396	15.509611	149.634	112.29729	142.54628	4.1847816	148.22583	138.2658	115.333336	414.0	385.33334	369.66666	105.0	94.333336	94.666664	122.333336	4	83.45914	24.311373	137.15672	51.464634	60.014927	15999	41.07251	20.593214	70.57448	-9.936152	41.573986	20.589146	70.42838	-6.649109	0.83712065	2.134327	13.481549	-11.895165	-44.58708	2.9879673	0.6625746	0.033241298	0.7910966	0.5429258	0.05011594	0.0071331393	0.08455543	0.025511302	238.02641534805298
149.75719	5.624753	154.99446	141.95348	151.4506	6.8888884	159.78563	142.91495	712.3777	402.42114	1007.26544	143.39488	175.73775	78.26796	286.2724	115.43275	157.25835	12.380341	166.9018	139.7811	163.5926	14.460253	182.2049	146.9492	164.6436	7.684968	174.9438	156.49059	117.017944	10.716904	127.769104	102.391014	93.0	94.666664	695.3333	125.333336	99.666664	108.333336	120.666664	92.0	5	243.13684	170.49895	685.3807	110.3849	228.70589	19999	45.0056	20.595694	67.95337	-10.118756	45.5062	20.593998	68.674095	-7.233503	0.51134616	2.1327777	15.659327	-12.94445	-47.92434	2.8753908	0.58372223	0.048098873	0.78007233	0.42428496	0.04481368	0.008175657	0.0817787	0.024018437	303.0169653892517
615.1838	276.7522	814.4328	223.81871	878.88934	44.152313	910.3929	816.4494	799.5386	475.83856	1247.7947	140.74585	438.22217	363.47552	949.17206	134.07141	212.76794	26.562082	246.33081	181.376	172.23381	14.574913	191.6036	156.44562	254.34276	52.310123	294.44952	180.45528	224.9488	107.11655	376.20413	142.08925	724.3333	1000.0	695.0	434.66666	157.66667	112.333336	227.33333	250.33333	6	220.03146	56.323895	347.51227	125.438446	175.43478	23999	45.85324	19.25219	68.08356	-12.250203	46.353813	19.249367	68.61591	-10.238366	0.25310266	2.0177183	16.39094	-11.324601	-48.24971	2.6437883	0.5399814	0.037034705	0.70692444	0.4259316	0.039821196	0.007963522	0.080165096	0.021166401	376.1884717941284
903.0581	0.8987945	904.129	901.9297	502.72314	283.14874	901.04517	268.00253	816.62646	274.50494	1138.6195	467.8274	694.87494	469.09302	1034.5251	31.541258	503.34604	276.43585	893.21674	283.3952	247.58533	16.574059	259.73633	224.15143	238.8864	66.30796	331.19675	178.4407	135.86302	62.298214	206.89188	55.206844	1000.0	458.33334	771.0	649.0	479.66666	178.0	188.0	160.33333	7	204.53535	39.98136	301.8482	153.1019	164.45833	27999	46.962494	18.241417	68.73854	-11.002146	47.46237	18.238953	69.186806	-10.158497	0.11494929	1.9860429	18.280235	-11.747244	-49.04648	2.248511	0.5173582	0.034879226	0.65536714	0.42131555	0.035951607	0.0078065274	0.06831343	0.019212183	457.29761576652527
1243.2438	582.72473	1694.2075	420.4128	845.2148	483.80756	1384.3638	210.82056	743.3962	503.37784	1447.032	298.0032	429.0972	344.60974	916.29895	175.02463	444.63916	181.7263	685.72845	246.99953	175.15623	36.30383	226.41699	147.03545	180.79608	32.251717	225.60202	151.0052	139.56554	5.6969423	147.25723	133.64337	743.0	702.3333	541.3333	407.66666	254.66667	99.333336	124.666664	107.0	8	209.15189	53.02992	343.23584	137.03082	140.03448	31999	47.831585	17.635262	69.53971	-18.932932	48.33185	17.63263	69.80243	-10.609113	-0.033396352	1.9288263	17.169926	-10.934574	-49.668064	1.9459647	0.51210004	0.033182904	0.6424553	0.42065406	0.032697465	0.007419543	0.06931451	0.016483245	531.2770879268646
1360.4604	38.864655	1401.4342	1308.2473	1162.722	256.83105	1444.4019	823.298	589.2005	319.99118	833.6946	137.16788	792.4448	57.177315	857.8968	718.5983	1366.1025	10.885681	1381.3005	1356.3789	888.9163	47.75818	954.16473	841.1842	480.19235	217.97467	767.5973	239.95888	58.71806	5.2301817	66.077034	54.39336	1000.0	1000.0	702.3333	843.3333	1000.0	1000.0	598.3333	125.333336	9	320.82495	128.17206	755.9589	197.42522	213.10527	35999	49.217415	17.363876	70.893616	-12.539867	49.717445	17.361942	71.429695	-9.9001045	-0.0058617406	1.9145951	18.093493	-11.067644	-50.95243	1.9388728	0.518663	0.032719456	0.66434646	0.42477512	0.031875316	0.0071281665	0.06615322	0.016836118	615.852550983429
935.264	550.62836	1357.4832	157.51022	923.1731	567.75525	1427.6466	129.96599	804.0188	515.89404	1373.0349	124.054695	1177.2579	266.41122	1550.4833	946.04083	1377.5463	11.937364	1393.2085	1364.2588	1265.757	13.947116	1277.272	1246.131	688.1414	350.64816	1125.0413	266.54108	341.16312	188.07016	595.84546	147.42728	694.6667	710.3333	702.0	1000.0	1000.0	1000.0	576.6667	390.0	10	689.26733	494.10303	1323.5591	71.428635	612.1667	39999	52.021816	17.615536	73.7011	-24.768286	52.52161	17.615143	75.59461	-20.880955	0.16657022	1.9060408	15.7600355	-12.840836	-53.635944	1.9778882	0.5337692	0.03490253	0.6972885	0.4331719	0.03167408	0.0067809294	0.07014755	0.017168075	697.6234090328217
