Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTransferEpRet	StdTransferEpRet	MaxTransferEpRet	MinTransferEpRet	AverageRandomEpRet	StdRandomEpRet	MaxRandomEpRet	MinRandomEpRet	AverageAdvEpRet	StdAdvEpRet	MaxAdvEpRet	MinAdvEpRet	EpLen	TestEpLen	TransferEpLen	RandomEpLen	AdvEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
13	-50.80175	307.35422	2463.4988	-191.37012	1629.7275	68.88433	1718.1935	1490.7838	-40.190998	26.257385	-11.364459	-101.06482	1565.9851	98.816444	1704.1343	1403.794	1549.0505	49.724674	1627.1367	1491.3801	58.072464	1000.0	62.8	1000.0	1000.0	51999	5810.678	11204.79	110718.01	-6147.526	5810.473	11204.208	111332.414	-5609.3286	77.17192	59.333096	947.0636	5.86098	-6118.623	1090859.1	1448.0538477897644
14	-143.62585	425.3753	20.406881	-3632.3062	1542.2295	73.090866	1649.0367	1386.263	-113.09249	20.109772	-77.96431	-146.83574	1551.5684	60.360382	1674.9207	1481.3605	1532.0599	30.108515	1602.7517	1501.0542	58.173912	1000.0	52.5	1000.0	1000.0	55999	6190.5327	11674.675	114338.04	-5362.3706	6190.475	11674.221	114891.99	-5424.707	82.852684	64.64356	1195.9889	5.5563936	-6510.031	1214545.0	1578.163757801056
15	-87.36236	38.263935	0.26362878	-215.0407	1515.5703	27.893467	1567.5532	1476.9844	-37.898796	17.79112	-13.531911	-78.22439	1483.9875	77.90765	1654.4398	1359.373	1544.2341	45.297974	1636.1456	1482.9807	60.469696	1000.0	45.5	1000.0	1000.0	59999	6682.469	12327.163	129027.31	-5857.252	6682.363	12326.645	129301.57	-5665.91	87.33886	69.5249	1268.2881	7.0196314	-7046.34	1437741.6	1691.0103328227997
16	-119.137	273.45972	-15.458456	-2369.9597	1548.485	104.7389	1718.4639	1367.2338	-106.70205	48.762028	-57.59695	-210.5695	1563.2	57.037785	1642.7518	1451.0715	1550.7131	67.888626	1656.6077	1400.5653	57.24286	1000.0	68.0	1000.0	1000.0	63999	7802.3105	14209.063	130546.62	-5766.1514	7802.379	14208.744	129911.9	-5708.824	91.87879	69.70767	1496.7969	9.3466	-8192.395	1590928.4	1804.2398056983948
17	-119.06973	46.603363	-1.9452106	-220.84512	1632.0365	74.36916	1772.2819	1553.3496	-52.208046	29.583477	17.699606	-87.55203	1567.9253	37.50627	1644.1768	1541.313	1626.7758	84.72462	1813.4701	1516.8059	47.57143	1000.0	61.2	1000.0	1000.0	67999	8010.9165	14877.451	128938.38	-4952.3076	8011.0024	14876.676	129358.79	-4911.578	91.80692	69.39533	1555.5573	3.3891792	-8387.828	1791509.4	1917.4374351501465
18	-112.99992	231.38345	-9.733266	-2084.2068	1625.5334	83.61735	1825.6516	1529.6875	-74.496864	28.35156	-19.982162	-126.74113	1536.695	79.80752	1687.5052	1472.6195	1671.5417	56.45702	1756.2058	1601.8184	53.34667	1000.0	63.0	1000.0	1000.0	71999	8346.785	16648.328	135186.14	-4978.561	8346.443	16647.785	135389.03	-5183.316	90.66795	67.64516	1470.2579	10.951963	-8735.415	2220275.8	2040.8934209346771
19	-139.44629	545.5211	18.405489	-4595.897	1630.5814	73.930084	1776.7289	1547.0804	-56.502674	35.70815	11.55482	-120.41852	1600.6174	62.380844	1674.5396	1476.399	1605.0713	47.638874	1687.055	1523.9843	58.514706	1000.0	67.2	1000.0	1000.0	75999	8852.855	17710.951	142636.95	-5380.438	8852.1875	17710.07	141088.12	-4973.3135	96.80007	72.3294	1411.9613	11.088367	-9314.477	3046532.0	2155.3462460041046
20	-248.80229	1392.9236	16.942806	-10669.818	1462.7853	79.81815	1602.9431	1304.3947	-69.36527	22.591135	-21.43574	-107.704704	1558.1863	62.526638	1643.7972	1441.7692	1424.2605	75.67568	1522.6906	1300.573	69.31579	1000.0	57.1	1000.0	1000.0	79999	9588.599	19355.992	142768.64	-5624.267	9588.174	19354.822	142406.23	-6098.557	92.70111	77.4055	1291.3728	12.442795	-10032.813	3203059.2	2269.242838859558
21	-83.77015	33.416683	-20.829023	-170.44196	1568.465	103.18505	1705.9073	1406.9036	-122.1534	31.13678	-69.161156	-184.46873	1507.3186	64.00029	1665.1204	1456.0992	1616.6794	119.32448	1784.541	1427.8798	53.31579	1000.0	42.6	1000.0	1000.0	83999	10088.92	20023.5	149486.97	-6636.2173	10088.211	20022.291	151183.77	-6786.418	90.95505	74.7871	1381.2145	12.472368	-10567.478	3015797.8	2383.8636252880096
22	-94.863	44.947334	0.32721686	-250.3967	1594.5793	54.34472	1684.073	1477.023	-66.051674	24.858732	-25.60695	-106.134315	1514.1906	82.653404	1666.3602	1438.3806	1619.9775	91.22939	1782.7505	1470.382	52.736843	1000.0	53.2	1000.0	1000.0	87999	10810.775	20910.693	157120.14	-7757.1035	10810.088	20909.555	156956.89	-7573.5283	98.33842	79.568436	1413.1223	16.748545	-11328.066	3597714.5	2497.49054312706
