Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTransferEpRet	StdTransferEpRet	MaxTransferEpRet	MinTransferEpRet	AverageRandomEpRet	StdRandomEpRet	MaxRandomEpRet	MinRandomEpRet	AverageAdvEpRet	StdAdvEpRet	MaxAdvEpRet	MinAdvEpRet	EpLen	TestEpLen	TransferEpLen	RandomEpLen	AdvEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
16	235.02815	72.0441	395.21658	141.2507	24.366817	11.679743	47.21654	9.323768	25.268143	11.580771	48.75007	14.305942	14.127339	1.6340576	17.720287	11.5311365	17.750528	2.5319269	22.905163	13.892623	155.92308	24.8	26.8	6.3	15.6	63999	65.268425	24.077604	98.47763	-36.869152	65.26831	24.07827	98.869545	-41.72261	-67.22249	4.947743	695.2259941101074
17	214.19032	64.83642	341.6016	139.08234	19.723366	6.679249	34.921616	12.86754	22.330322	14.556919	63.961475	9.966754	14.457234	2.656062	18.461077	7.5211782	19.983143	5.7638	32.679703	13.889453	133.56667	15.0	21.8	6.6	18.8	67999	66.70521	24.56839	100.393456	-28.67718	66.70493	24.56954	100.47131	-29.22108	-68.56199	4.460088	739.7744512557983
18	288.93933	91.44997	464.10153	145.4898	16.462664	3.1317282	23.28214	10.000492	16.116152	1.6356219	19.540169	13.964224	13.9672575	2.4446235	15.894989	9.002067	22.374939	13.550022	62.381462	14.92943	174.60869	12.7	8.6	5.9	17.1	71999	67.78382	24.91381	101.89132	-29.272636	67.78365	24.915245	102.743835	-38.398327	-69.59794	4.5179844	782.4893608093262
19	1069.5133	355.55267	1378.9851	557.7521	17.288967	2.9688368	22.082722	12.28821	16.657364	2.2136965	22.020676	13.746726	14.615995	2.0428958	18.008411	10.100584	18.964748	4.290008	31.42929	15.44185	775.0	12.1	14.5	6.4	14.8	75999	69.20102	24.97599	103.082184	-36.12548	69.20046	24.977428	103.305756	-30.201551	-70.92122	4.4208145	822.6239595413208
20	430.00275	394.2452	1184.2926	72.78994	25.989758	13.053363	54.38556	16.256628	31.06253	22.46699	94.977165	13.150338	14.911769	1.591793	16.972006	11.36801	21.784573	9.392612	42.07297	8.804544	367.9	35.2	33.1	6.1	21.6	79999	71.17781	25.076433	104.62732	-38.88458	71.17725	25.076925	104.43735	-43.028095	-73.002144	5.6541047	862.4748589992523
21	428.44025	327.41504	1029.5997	88.343445	22.489063	11.608436	47.23146	10.279433	20.170858	5.4490213	28.81407	10.493286	14.362918	1.9140788	17.60151	10.497549	21.533203	7.750402	37.47197	10.442448	391.1	26.0	25.6	5.5	20.8	83999	73.169304	25.6089	111.812355	-41.664536	73.1691	25.60566	111.231026	-32.84678	-74.97695	5.666102	903.3233118057251
22	1004.4999	463.6702	1362.1202	194.74002	18.196655	2.6013024	22.205471	13.454753	17.570978	3.6600058	25.502045	12.713054	16.236195	1.154429	18.16667	14.670664	16.251026	4.714391	26.338179	10.57359	757.0	16.6	14.9	6.1	17.7	87999	75.9913	26.365084	111.8024	-52.675247	75.99126	26.363377	111.9544	-37.203686	-77.93812	5.784398	943.5417671203613
23	323.71204	291.52695	1255.739	46.43627	19.544823	3.9353216	27.100323	13.474569	26.824001	15.75584	65.105705	11.740976	14.347223	2.2850587	17.94385	9.504897	29.673084	14.604467	56.49411	15.639732	234.15	18.7	28.2	10.1	33.3	91999	78.77402	27.492443	119.96013	-45.566353	78.77374	27.49357	118.91619	-35.89625	-80.752815	6.684234	984.9992454051971
24	285.2594	141.88005	595.3699	113.28884	20.728558	4.791569	30.790037	14.928083	31.402851	30.34649	120.60322	14.45272	13.324432	1.5025445	15.204934	10.649759	20.183369	6.2022004	30.252462	11.61135	199.58824	26.6	34.2	8.3	19.7	95999	80.63337	28.113249	127.3087	-30.477005	80.63293	28.11484	125.91048	-28.681034	-82.62224	6.970736	1025.4631526470184
25	828.73346	398.27966	1226.0946	54.18115	32.465363	18.742638	75.50508	14.169261	27.443787	6.1185884	37.251907	18.761803	16.002825	1.2850548	18.099674	14.211529	24.922297	6.269896	39.876335	17.333914	744.1667	36.8	37.5	6.2	33.0	99999	81.98485	28.203556	129.04128	-49.09084	81.984375	28.20388	129.25621	-36.90627	-83.91706	6.9482217	1067.25514960289
	104.53033	32.488647	34.91922	114.97328	6.961613	47.06137	35.446846	119.67991	11.8532505	7.2495995	2.0034575	10.38953	2.937091	30.855267	25.049923	77.7269	10.5374155	428.0	49.9	72.3	7.0	44.8	103999	83.35861	25.35646	112.60444	-43.269382	83.3594	25.35736	112.41441	-33.404747	-85.656746	13.458649	1183.2660908699036
27	764.2301	386.50266	1104.1876	137.1771	44.442303	27.351072	83.78569	9.491541	33.880424	27.010017	102.26857	9.872281	8.675169	0.9552904	9.851208	6.4499483	29.128073	20.407541	63.035004	8.412151	702.8	56.3	42.2	10.6	39.1	107999	84.42526	25.18425	117.11879	-38.487247	84.42509	25.186415	115.01788	-43.66511	-86.7142	13.058273	1230.4799180030823
