Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTransferEpRet	StdTransferEpRet	MaxTransferEpRet	MinTransferEpRet	AverageRandomEpRet	StdRandomEpRet	MaxRandomEpRet	MinRandomEpRet	EpLen	TestEpLen	TransferEpLen	RandomEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	502.74402	7.94086	513.84564	491.39276	483.91788	51.989788	571.50555	393.50845	509.15265	67.40353	579.3513	381.25885	537.145	38.325172	575.25446	471.00424	1000.0	1000.0	1000.0	1000.0	3999	11.585211	5.859763	30.478825	-0.11350692	11.584867	5.860396	30.568954	-0.09749785	-5.355314	0.6097106	7.37277	-12.485216	-12.664544	0.06158039	101.5457272529602
2	411.63696	165.19061	523.37604	126.37109	163.06203	179.74489	437.89398	16.460901	224.70134	162.64084	457.46255	17.352999	119.941055	159.39526	437.0292	12.041195	819.75	416.0	649.7	321.1	7999	34.07179	7.058296	61.62728	18.190153	34.07183	7.0582805	60.866535	18.242617	-5.2474427	0.9108153	11.026616	-13.475182	-35.15233	0.42749146	195.01174306869507
3	118.682274	188.86221	515.47815	2.0162575	395.68808	114.00253	681.0525	255.17331	389.00906	88.13159	547.39105	237.32295	470.66153	98.94702	624.956	296.41678	260.13333	1000.0	1000.0	1000.0	11999	56.20143	7.8121157	153.51308	25.58387	56.201244	7.816061	154.75801	19.19855	-4.9475546	1.7062001	26.352524	-13.344662	-57.28102	4.436483	314.16182231903076
4	407.92932	18.305548	425.3669	382.1262	328.2059	143.5233	546.37933	32.31556	276.7679	131.31065	441.0089	26.721722	242.6145	141.42622	403.5747	31.63389	1000.0	912.6	826.3	749.5	15999	78.900055	17.105978	189.65413	-2.3493428	78.89986	17.113007	196.27977	-4.22028	-3.4958794	3.3219643	33.536762	-13.183796	-80.07911	9.190271	424.33235001564026
5	58.475983	136.37692	532.4345	3.1210814	422.21915	63.0872	548.5389	340.52325	453.22598	79.947876	555.61707	293.83197	423.46564	72.69948	544.2005	351.587	143.11111	1000.0	1000.0	1000.0	19999	95.51116	17.57667	184.12735	-12.408364	95.51084	17.590267	185.30017	-12.173747	-2.3582234	3.9789996	27.690968	-12.9043455	-96.76805	13.432119	543.4372708797455
6	352.35965	132.92561	537.4409	166.76813	365.25946	69.08491	474.51062	201.6155	374.9865	29.447264	421.51157	327.18872	356.69736	53.60379	402.50137	206.54169	805.5	1000.0	1000.0	1000.0	23999	110.53722	25.183407	250.71182	-24.650043	110.53638	25.176514	250.1765	-13.456271	-1.5771433	4.4999843	27.632841	-14.334119	-111.99919	14.321889	665.5702593326569
7	515.10126	52.017128	564.1706	427.53018	540.78516	90.04746	658.57153	371.436	504.95547	62.70355	591.98553	394.92923	542.7367	73.60252	657.1588	426.38443	1000.0	1000.0	1000.0	1000.0	27999	123.36742	25.812565	245.19106	-81.02769	123.36686	25.803232	246.17322	-43.045647	-2.0848985	3.6958542	28.70504	-14.445121	-124.475975	12.718351	783.9644548892975
8	449.68375	65.127075	494.82504	337.36646	631.2333	149.91798	864.27216	376.29047	441.76862	201.34056	719.01465	-13.384773	646.05554	169.39699	860.42816	347.89453	1000.0	1000.0	915.3	1000.0	31999	126.94438	18.308203	206.7903	-52.1141	126.94416	18.296843	206.36249	-36.82977	-2.8776326	3.034057	34.229347	-14.33988	-127.883766	9.564041	900.798148393631
9	511.20404	42.45339	565.5733	450.59357	617.37787	155.03308	875.70105	400.7785	555.05865	85.16622	722.33795	421.19888	590.5599	126.555305	795.52716	447.6872	1000.0	1000.0	991.0	1000.0	35999	127.23556	12.685143	179.78731	-67.21345	127.23572	12.667599	179.62576	-52.84106	-3.6233275	2.4868748	37.400284	-16.579155	-128.0862	7.8123975	1017.7424473762512
10	522.5038	142.48744	634.21643	279.3348	559.0806	68.02649	732.0897	482.249	593.0355	78.264854	740.72	498.61066	587.45325	83.000984	709.2197	446.9009	1000.0	1000.0	1000.0	1000.0	39999	126.14251	8.833555	165.45288	-84.755806	126.14283	8.812039	165.19745	-75.52906	-4.0278983	2.128415	29.21235	-13.202195	-126.97941	7.9383874	1137.3557875156403
